internal_id,resource_key,set_label,collector_label,japanese_name,official_english_name,status,mapping_source,name_text_id,list_index_name
15,0_18,Special/Promo,18,新星の精霊アルシア,"Alshia, Nova Elemental",wiki_established_english_name,Duel Masters Wiki/Fandom established English page/title,62,
16,0_19,Special/Promo,19,黒神龍バグラザード,Necrodragon Bagrazard,wiki_established_english_name,Duel Masters Wiki/Fandom established English page/title,66,
17,0_20,Special/Promo,20,ギガジラス,Gigajiras,wiki_established_english_name,Duel Masters Wiki/Fandom established English page/title,70,
18,0_21,Special/Promo,21,緑神龍ザールベルグ,Terradragon Zalberg,wiki_established_english_name,Duel Masters Wiki/Fandom established English page/title,74,
19,0_22,Special/Promo,22,黒神龍ゼキラ,Necrodragon Zekira,wiki_established_english_name,Duel Masters Wiki/Fandom established English page/title,78,
20,0_23,Special/Promo,23,紅神龍ガルドス,Magmadragon Gardos,wiki_established_english_name,Duel Masters Wiki/Fandom established English page/title,82,
21,0_24,Special/Promo,24,キッキ・ヤコッピ,Kicky Yacoopy,wiki_established_english_name,Duel Masters Wiki/Fandom established English page/title,86,
22,0_25,Special/Promo,25,フィスト・ブレーダー,Fist Blader,wiki_established_english_name,Duel Masters Wiki/Fandom established English page/title,90,
23,0_26,Special/Promo,26,建機男,Construction Mutant,wiki_established_english_name,Duel Masters Wiki/Fandom established English page/title,94,
24,0_27,Special/Promo,27,ゲットのノコギリ,Gett's Saw,wiki_established_english_name,Duel Masters Wiki/Fandom established English page/title,98,
25,0_28,Special/Promo,28,黒神龍バズラデューダ,Necrodragon Bazradyuda,wiki_established_english_name,Duel Masters Wiki/Fandom established English page/title,102,
26,0_29,Special/Promo,29,ボルスレッド・ファイアー・ドラゴン,Bolsred Fire Dragon,wiki_established_english_name,Duel Masters Wiki/Fandom established English page/title,105,
27,0_30,Special/Promo,30,聖神龍アルティメス,"Altimeth, Holy Divine Dragon",wiki_established_english_name,Duel Masters Wiki/Fandom established English page/title,108,
28,0_31,Special/Promo,31,蒼神龍ウォルフィース,"Wolfis, Blue Divine Dragon",wiki_established_english_name,Duel Masters Wiki/Fandom established English page/title,111,
29,0_32,Special/Promo,32,黒神龍ガルバロス,Necrodragon Galbalos,wiki_established_english_name,Duel Masters Wiki/Fandom established English page/title,114,
30,0_33,Special/Promo,33,ボルブレイズ・ドラゴン,Bolblaze Dragon,wiki_established_english_name,Duel Masters Wiki/Fandom established English page/title,117,
31,0_34,Special/Promo,34,緑神龍ハルクーンベルガ,Terradragon Hulcoon Berga,wiki_established_english_name,Duel Masters Wiki/Fandom established English page/title,120,
32,0_35,Special/Promo,35,神滅竜騎ガルザーク,"Galzark, Divine Destruction Dragon Knight",wiki_established_english_name,Duel Masters Wiki/Fandom established English page/title,123,
33,0_36,Special/Promo,36,勇騎恐皇フォルテ,"Forte, Brave Fear Lord",wiki_established_english_name,Duel Masters Wiki/Fandom established English page/title,127,
34,0_37,Special/Promo,37,無双竜機ドルザーク,Super Dragon Machine Dolzark,printed_english_name_mapped,Latepate English TCG catalog: Promotional P0/Y3,131,
35,1_100,DM-01,100,凶戦士ブレイズ・クロー,Deadly Fighter Braid Claw,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,135,
36,1_8,DM-01,8,ボルシャック・ドラゴン,Bolshack Dragon,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,138,
37,1_98,DM-01,98,喧嘩屋タイラー,Brawler Zyler,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,142,
38,1_83,DM-01,83,アクア・ビークル,Aqua Vehicle,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,146,
39,1_76,DM-01,76,蒼天の守護者ラ・ウラ・ギガ,"La Ura Giga, Sky Guardian",printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,148,
40,1_89,DM-01,89,ブラッディ・イヤリング,Bloody Squito,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,152,
41,1_69,DM-01,69,シビレアシダケ,Poisonous Mushroom,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,156,
42,1_84,DM-01,84,アクア・ガード,Aqua Guard,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,159,
43,1_73,DM-01,73,雷光の使徒ミール,"Miele, Vizier of Lightning",printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,163,
44,1_90,DM-01,90,うごめく者ボーン・グール,Writhing Bone Ghoul,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,167,
45,1_82,DM-01,82,狩猟魚,Hunter Fish,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,170,
46,1_32,DM-01,32,銃神兵ディオライオス,"Rothus, the Traveler",printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,174,
47,1_10,DM-01,10,トゲ刺しマンドラ,Thorny Mandra,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,177,
48,1_S7,DM-01,S7,クリムゾン・ワイバーン,Scarlet Skyterror,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,181,
49,1_80,DM-01,80,アクア・ハルカス,Aqua Hulcus,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,184,
50,1_3,DM-01,3,キング・ポセイドン,King Ripped-Hide,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,188,
51,1_S1,DM-01,S1,光輪の精霊シャウナ,"Hanusa, Radiance Elemental",printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,192,
52,1_81,DM-01,81,キャンディ・ドロップ,Candy Drop,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,196,
53,1_97,DM-01,97,不死身男爵ボーグ,"Immortal Baron, Vorg",printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,199,
54,1_71,DM-01,71,翡翠樹,Senatine Jade Tree,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,202,
55,1_74,DM-01,74,碧玉草,Emerald Grass,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,206,
56,1_64,DM-01,64,トルネード・フレーム,Tornado Flame,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,210,
57,1_39,DM-01,39,ナチュラル・トラップ,Natural Snare,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,213,
58,1_2,DM-01,2,真理の伝道師レイーラ,"Rayla, Truth Enforcer",printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,216,
59,1_106,DM-01,106,青銅の鎧,Bronze-Arm Tribe,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,220,
60,1_109,DM-01,109,アルティメット・フォース,Ultimate Force,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,223,
61,1_101,DM-01,101,クリムゾン・ハンマー,Crimson Hammer,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,226,
62,1_27,DM-01,27,デーモン・ハンド,Terror Pit,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,229,
63,1_58,DM-01,58,ダーク・リバース,Dark Reversal,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,232,
64,1_52,DM-01,52,サイバー・ブレイン,Cyber Brain,wiki_established_english_name,Duel Masters Wiki/Fandom established English page/title,235,
65,1_94,DM-01,94,ゴースト・タッチ,Ghost Touch,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,238,
66,1_15,DM-01,15,ホーリー・スパーク,Holy Awe,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,241,
67,2_24,DM-02,24,クリスタル・ランサー,Crystal Lancer,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,244,
68,2_27,DM-02,27,魔獣虫カオス・ワーム,Chaos Worm,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,247,
69,2_33,DM-02,33,大勇者「大地の猛攻」,"Barkwhip, the Smasher",printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,250,
70,2_4,DM-02,4,ボルザード・ドラゴン,Bolzard Dragon,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,254,
71,2_S3,DM-02,S3,魔翼虫ジェノサイド・ワーム,Ultracide Worm,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,258,
72,2_19,DM-02,19,鳴動するギガ・ホーン,Rumbling Terahorn,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,261,
73,2_21,DM-02,21,守護聖天ラルバ・ギア,"Larba Geer, the Immaculate",printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,264,
74,2_39,DM-02,39,ロジック・キューブ,Logic Cube,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,267,
75,2_S2,DM-02,S2,クリスタル・パラディン,Crystal Paladin,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,269,
76,2_26,DM-02,26,ディープ・オペレーション,Thought Probe,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,272,
77,2_28,DM-02,28,貪欲の影グレイ・バルーン,"Gray Balloon, Shadow of Greed",printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,274,
78,2_47,DM-02,47,クリティカル・ブレード,Critical Blade,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,278,
79,2_49,DM-02,49,小さな勇者ゲット,Mini Titan Gett,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,280,
80,2_32,DM-02,32,バースト・ショット,Burst Shot,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,284,
81,2_S5,DM-02,S5,大勇者「ふたつ牙」,Fighter Dual Fang,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,286,
82,2_35,DM-02,35,マナ・クライシス,Mana Crisis,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,289,
83,2_38,DM-02,38,晴天の守護者レゾ・パコス,"Reso Pacos, Clear Sky Guardian",printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,291,
84,2_6,DM-02,6,暁の守護者ファル・イーガ,"Phal Eega, Dawn Guardian",printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,294,
85,2_23,DM-02,23,ダイヤモンド・カッター,Diamond Cutter,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,298,
86,2_40,DM-02,40,コーライル,Corile,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,301,
87,2_45,DM-02,45,卵胞虫ゼリー・ワーム,Horrid Worm,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,305,
88,2_46,DM-02,46,ねじれる者ボーン・スライム,"Marrow Ooze, the Twister",printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,309,
89,2_29,DM-02,29,ロスト・ソウル,Lost Soul,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,313,
90,2_54,DM-02,54,ラブ・エルフィン,Essence Elf,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,316,
91,3_3,DM-03,3,絶望の魔黒ジャックバイパー,"Jack Viper, Shadow of Doom",printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,320,
92,3_5,DM-03,5,大昆虫ギガマンティス,Gigamantis,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,323,
93,3_11,DM-03,11,ストリーミング・シェイパー,Streaming Shaper,wiki_established_english_name,Duel Masters Wiki/Fandom established English page/title,327,
94,3_18,DM-03,18,夜明けの超人,Dawn Giant,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,330,
95,3_34,DM-03,34,シェル・ポーチ,Pouch Shell,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,334,
96,3_35,DM-03,35,深緑の魔方陣,Mana Nexus,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,338,
97,3_41,DM-03,41,アングラー・クラスター,Angler Cluster,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,341,
98,3_42,DM-03,42,エメラル,Emeral,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,344,
99,3_49,DM-03,49,チッチ・ホッピー,Baby Zoppe,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,347,
100,3_51,DM-03,51,ボルカニック・アロー,Volcanic Arrows,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,351,
101,3_S4,DM-03,S4,ガルカーゴ・ドラゴン,Garkago Dragon,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,353,
102,4_1,DM-04,1,聖霊王アルカディアス,"Alcadeias, Lord of Spirits",printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,356,
103,4_2,DM-04,2,アストラル・リーフ,Astral Reef,wiki_established_english_name,Duel Masters Wiki/Fandom established English page/title,359,
104,4_6,DM-04,6,飛翔の精霊アリエス,"Aeris, Flight Elemental",printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,363,
105,4_10,DM-04,10,アクアン,Aquan,wiki_established_english_name,Duel Masters Wiki/Fandom established English page/title,367,
106,4_11,DM-04,11,ハイドロ・ハリケーン,Hydro Hurricane,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,371,
107,4_13,DM-04,13,荒廃の巨王ジェノサイド,"Photocide, Lord of the Wastes",printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,373,
108,4_14,DM-04,14,いけにえの鎖,Chains of Sacrifice,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,377,
109,4_23,DM-04,23,牢黒の伝道師ミリエス,"Milieus, the Daystretcher",printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,379,
110,4_24,DM-04,24,雷鳴の守護者ミスト・リエス,"Mist Rias, Sonic Guardian",printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,382,
111,4_28,DM-04,28,屑男,Mongrel Man,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,386,
112,4_29,DM-04,29,汽車男,Locomotiver,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,390,
113,4_37,DM-04,37,予言者コロン,"Kolon, the Oracle",printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,393,
114,4_39,DM-04,39,鎮圧の使徒サリエス,"Sarius, Vizier of Suppression",printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,396,
115,4_43,DM-04,43,マリン・フラワー,Marine Flower,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,400,
116,4_45,DM-04,45,暴食虫グレゴリア・ワーム,Gregorian Worm,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,404,
117,4_46,DM-04,46,呪いの影シャドウ・ムーン,"Shadow Moon, Cursed Shade",printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,408,
118,4_55,DM-04,55,孤高の願,Torcon,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,412,
119,4_S3,DM-04,S3,悪魔神バロム,"Ballom, Master of Death",printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,416,
120,4_S5,DM-04,S5,護りの角フィオナ,"Niofa, Horned Protector",printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,419,
121,5_4,DM-05,4,ブレイドラッシュ・ワイバーンδ,Bladerush Skyterror Q,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,422,
122,5_7,DM-05,7,神魂の守護者シュノーク・ラー,"Snork La, Shrine Guardian",printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,426,
123,5_15,DM-05,15,ツインキャノン・ワイバーン,Twin-Cannon Skyterror,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,429,
124,5_24,DM-05,24,アクア・サーファー,Aqua Surfer,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,433,
125,5_48,DM-05,48,ストームジャベリン・ワイバーン,Storm Javelin Wyvern,wiki_established_english_name,Duel Masters Wiki/Fandom exact OCG card page,436,
126,5_49,DM-05,49,解体屋ピーカプ,"Rikabu, the Dismantler",printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,440,
127,5_50,DM-05,50,ポッポ・チャッピー,Kip Chippotto,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,444,
128,5_51,DM-05,51,ブレイズザウルスα,Blazosaur Q,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,448,
129,5_54,DM-05,54,威嚇するスマッシュ・ホーンα,Smash Horn Q,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,452,
130,5_55,DM-05,55,巨翼の爪,Crow Winger,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,456,
131,5_S1,DM-05,S1,天海の精霊シリウス,"Syrius, Firmament Elemental",printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,460,
132,5_S5,DM-05,S5,神拳の超人,Avalanche Giant,printed_english_name_mapped,Dueparture overseas correspondence DM-01..DM-05,463,
133,6_1,DM-06,1,銀界の守護者ル・ギラ・レシール,"Lu Gila, Silver Rift Guardian",printed_english_name_mapped,Dueparture overseas correspondence table,466,0
134,6_2,DM-06,2,インビンシブル・オーラ,Invincible Aura,printed_english_name_mapped,Dueparture overseas correspondence table,469,3
135,6_3,DM-06,3,エウロピカ,Aeropica,printed_english_name_mapped,Dueparture overseas correspondence table,472,6
136,6_4,DM-06,4,インビンシブル・テクノロジー,Invincible Technology,printed_english_name_mapped,Dueparture overseas correspondence table,476,10
137,6_5,DM-06,5,戦車男,Tank Mutant,printed_english_name_mapped,Dueparture overseas correspondence table,479,13
138,6_6,DM-06,6,インビンシブル・アビス,Invincible Abyss,printed_english_name_mapped,Dueparture overseas correspondence table,483,17
139,6_7,DM-06,7,勇神兵エグゾリウス,Valiant Warrior Exorious,printed_english_name_mapped,Dueparture overseas correspondence table,486,20
140,6_8,DM-06,8,インビンシブル・フォートレス,Invincible Cataclysm,printed_english_name_mapped,Dueparture overseas correspondence table,490,24
141,6_9,DM-06,9,ガイアクロウ・ワスプ,Splinterclaw Wasp,printed_english_name_mapped,Dueparture overseas correspondence table,493,27
142,6_10,DM-06,10,インビンシブル・パワー,Invincible Unity,printed_english_name_mapped,Dueparture overseas correspondence table,496,30
143,6_11,DM-06,11,守護聖天アーク・バイン,"Arc Bine, the Astounding",printed_english_name_mapped,Dueparture overseas correspondence table,499,33
144,6_12,DM-06,12,聖域の守護者フォボス・エレインγ,"Forbos, Sanctum Guardian Q",printed_english_name_mapped,Dueparture overseas correspondence table,502,36
145,6_13,DM-06,13,綺羅星の精霊ガリアル,"Gariel, Elemental of Sunbeams",printed_english_name_mapped,Dueparture overseas correspondence table,505,39
146,6_14,DM-06,14,聖騎士コスモグールド,"Cosmogold, Spectral Knight",printed_english_name_mapped,Dueparture overseas correspondence table,509,43
147,6_15,DM-06,15,宣凶師エルリオット,"Telitol, the Explorer",printed_english_name_mapped,Dueparture overseas correspondence table,513,47
148,6_16,DM-06,16,ジャスティス・バインド,Bonds of Justice,printed_english_name_mapped,Dueparture overseas correspondence table,516,50
149,6_17,DM-06,17,フォート・メガクラスター,Fort Megacluster,printed_english_name_mapped,Dueparture overseas correspondence table,519,53
150,6_18,DM-06,18,キング・トラファルガー,King Triumphant,printed_english_name_mapped,Dueparture overseas correspondence table,522,56
151,6_19,DM-06,19,ナイト・クロウラー,Midnight Crawler,printed_english_name_mapped,Dueparture overseas correspondence table,525,59
152,6_20,DM-06,20,ラプター・フィッシュ,Raptor Fish,printed_english_name_mapped,Dueparture overseas correspondence table,529,63
153,6_21,DM-06,21,キュロロ,Kyuroro,printed_english_name_mapped,Dueparture overseas correspondence table,533,67
154,6_22,DM-06,22,ロータス・ミントγ,Ripple Lotus Q,printed_english_name_mapped,Dueparture overseas correspondence table,537,71
155,6_23,DM-06,23,恐慌の魔黒デス・スペクター,"Frost Specter, Shadow of Age",printed_english_name_mapped,Dueparture overseas correspondence table,541,75
156,6_24,DM-06,24,戦慄の剛将アブリン,"Gnarvash, Merchant of Blood",printed_english_name_mapped,Dueparture overseas correspondence table,544,78
157,6_25,DM-06,25,闇侯爵ハウクス,"Schuka, Duke of Amnesia",printed_english_name_mapped,Dueparture overseas correspondence table,548,82
158,6_26,DM-06,26,死縛虫グレイブ・ワームγ,Grave Worm Q,printed_english_name_mapped,Dueparture overseas correspondence table,552,86
159,6_27,DM-06,27,虚空の翼ダークモルダー,"Vile Mulder, Wing of the Void",printed_english_name_mapped,Dueparture overseas correspondence table,555,89
160,6_28,DM-06,28,邪魂転生,Intense Evil,printed_english_name_mapped,Dueparture overseas correspondence table,558,92
161,6_29,DM-06,29,シグマ・トゥレイト,Q-tronic Gargantua,printed_english_name_mapped,Dueparture overseas correspondence table,561,95
162,6_30,DM-06,30,機神装甲ヴァルカイザー,Armored Decimator Valkaizer,printed_english_name_mapped,Dueparture overseas correspondence table,565,99
163,6_31,DM-06,31,バザガジール・ドラゴン,Bazagazeal Dragon,printed_english_name_mapped,Dueparture overseas correspondence table,569,103
164,6_32,DM-06,32,ピーカプ・リザード,Badlands Lizard,printed_english_name_mapped,Dueparture overseas correspondence table,572,106
165,6_33,DM-06,33,ピーカプのドライバー,Rikabu's Screwdriver,printed_english_name_mapped,Dueparture overseas correspondence table,576,110
166,6_34,DM-06,34,クライシス・ボーラー,Crisis Boulder,printed_english_name_mapped,Dueparture overseas correspondence table,580,114
167,6_35,DM-06,35,超空要塞バビロン,Living Citadel Vosh,printed_english_name_mapped,Dueparture overseas correspondence table,583,117
168,6_36,DM-06,36,殺戮の化身,Clobber Totem,printed_english_name_mapped,Dueparture overseas correspondence table,586,120
169,6_37,DM-06,37,シェル・ファクトリーγ,Factory Shell Q,printed_english_name_mapped,Dueparture overseas correspondence table,589,123
170,6_38,DM-06,38,戦いの化身,Forbidding Totem,printed_english_name_mapped,Dueparture overseas correspondence table,592,126
171,6_39,DM-06,39,魅了妖精チャミリア,"Charmilia, the Enticer",printed_english_name_mapped,Dueparture overseas correspondence table,596,130
172,6_40,DM-06,40,神秘の宝箱,Mystic Treasure Chest,printed_english_name_mapped,Dueparture overseas correspondence table,600,134
173,6_41,DM-06,41,飛雲の求道者ダバ・トーレ,"Dava Torey, Seeker of Clouds",printed_english_name_mapped,Dueparture overseas correspondence table,603,137
174,6_42,DM-06,42,光柱樹,Razorpine Tree,printed_english_name_mapped,Dueparture overseas correspondence table,607,141
175,6_43,DM-06,43,予言者アドミス,"Adomis, the Oracle",printed_english_name_mapped,Dueparture overseas correspondence table,611,145
176,6_44,DM-06,44,聖騎士ムーンティアー,"Moontear, Spectral Knight",printed_english_name_mapped,Dueparture overseas correspondence table,614,148
177,6_45,DM-06,45,レイン・アロー,Rain of Arrows,printed_english_name_mapped,Dueparture overseas correspondence table,618,152
178,6_46,DM-06,46,プロテクト・フォース,Protective Force,printed_english_name_mapped,Dueparture overseas correspondence table,621,155
179,6_47,DM-06,47,シャインシェル・クラスター,Neon Cluster,printed_english_name_mapped,Dueparture overseas correspondence table,623,157
180,6_48,DM-06,48,ハザード・クロウラー,Hazard Crawler,printed_english_name_mapped,Dueparture overseas correspondence table,627,161
181,6_49,DM-06,49,デコ・クラスター,Overload Cluster,printed_english_name_mapped,Dueparture overseas correspondence table,631,165
182,6_50,DM-06,50,ストーム・クロウラー,Thrash Crawler,printed_english_name_mapped,Dueparture overseas correspondence table,634,168
183,6_51,DM-06,51,ショック・ハリケーン,Shock Hurricane,printed_english_name_mapped,Dueparture overseas correspondence table,637,171
184,6_52,DM-06,52,ミスティック・クリエーション,Mystic Dreamscape,printed_english_name_mapped,Dueparture overseas correspondence table,640,174
185,6_53,DM-06,53,ギガボアー,Gigagriff,printed_english_name_mapped,Dueparture overseas correspondence table,643,177
186,6_54,DM-06,54,戦男,Bazooka Mutant,printed_english_name_mapped,Dueparture overseas correspondence table,646,180
187,6_55,DM-06,55,鬼眼怪人スカルカッター,"Skullcutter, Swarm Leader",printed_english_name_mapped,Dueparture overseas correspondence table,650,184
188,6_56,DM-06,56,刃滅人形ポール,"Lupa, Poison-Tipped Doll",printed_english_name_mapped,Dueparture overseas correspondence table,654,188
189,6_57,DM-06,57,ヘル・スラッシュ,Hell Slash,wiki_established_english_name,Duel Masters Wiki/Fandom established English page/title,657,191
190,6_58,DM-06,58,死の宣告,Proclamation of Death,printed_english_name_mapped,Dueparture overseas correspondence table,660,194
191,6_59,DM-06,59,スフィンティラノスβ,Rumblesaur Q,printed_english_name_mapped,Dueparture overseas correspondence table,663,197
192,6_60,DM-06,60,エグゼズ・ワイバーン,Cutthroat Skyterror,printed_english_name_mapped,Dueparture overseas correspondence table,667,201
193,6_61,DM-06,61,荒法師ミガサ,"Migasa, Adept of Chaos",printed_english_name_mapped,Dueparture overseas correspondence table,671,205
194,6_62,DM-06,62,コッコ・ルピア,Cocco Lupia,printed_english_name_mapped,Dueparture overseas correspondence table,675,209
195,6_63,DM-06,63,ピコット・ミサイル,Spastic Missile,printed_english_name_mapped,Dueparture overseas correspondence table,679,213
196,6_64,DM-06,64,火炎流星弾,Comet Missile,printed_english_name_mapped,Dueparture overseas correspondence table,682,216
197,6_65,DM-06,65,跳躍の超人,Cantankerous Giant,printed_english_name_mapped,Dueparture overseas correspondence table,684,218
198,6_66,DM-06,66,恵みの化身,"Bliss Totem, Avatar of Luck",printed_english_name_mapped,Dueparture overseas correspondence table,688,222
