master_text_id,roles,cards,source_japanese,list_index,list1_japanese,dormant_list2_reference,translation
56,name,13:0_16:Special/Promo 16:魔刻の騎士オルゲイト,魔刻の騎士オルゲイト,,,,"Olgate, Nightmare Samurai"
57,rules,13:0_16:Special/Promo 16:魔刻の騎士オルゲイト,"■Ｗ・ブレイカー（シールドを攻撃したとき、このクリーチャーはシールドを２枚ブレイクする）
■このクリーチャーがバトルゾーンにある間、自分のクリーチャーがバトルゾーンから墓地に置かれるたびに、このクリーチャーをアンタップしてもよい。",,,,"■ Double breaker (This creature breaks 2 shields.)
■ Whenever one of your creatures is destroyed, you may untap this creature."
58,race,13:0_16:Special/Promo 16:魔刻の騎士オルゲイト,デーモン・コマンド,,,,Demon Command
59,name,14:0_17:Special/Promo 17:バルキリー・ドラゴン,バルキリー・ドラゴン,,,,Velyrika Dragon
60,rules,14:0_17:Special/Promo 17:バルキリー・ドラゴン,"■Ｗ・ブレイカー（シールドを攻撃したとき、このクリーチャーはシールドを２枚ブレイクする）
■このクリーチャーがバトルゾーンに出たとき、自分の山札を見る。その中からアーマード・ドラゴンを１体選び、相手に見せてから自分の手札に加えてもよい。その後、山札をシャッフルする。",,,,"■ When you put this creature into the battle zone, search your deck. You may take an Armored Dragon from your deck, show that Armored Dragon to your opponent, and put it into your hand. Then shuffle your deck.
■ Double breaker (This creature breaks 2 shields.)"
61,race,14:0_17:Special/Promo 17:バルキリー・ドラゴン,アーマード・ドラゴン,,,,Armored Dragon
62,name,15:0_18:Special/Promo 18:新星の精霊アルシア,新星の精霊アルシア,,,,"Alshia, Nova Elemental"
63,rules,15:0_18:Special/Promo 18:新星の精霊アルシア,■このクリーチャーをバトルゾーンに出した時、呪文を１枚、自分の墓地から自分の手札に戻してもよい。,,,,"■ When you put this creature into the battle zone, you may return a spell from your graveyard to your hand."
64,flavor,15:0_18:Special/Promo 18:新星の精霊アルシア,暗闇もいつかは消える。眠れぬ夜もいつかは明ける。終わらない苦しみはない。それがこの世界だ。,,,,Even darkness will someday fade. Even a sleepless night will someday see dawn. No suffering lasts forever. Such is this world.
65,race,15:0_18:Special/Promo 18:新星の精霊アルシア,エンジェル・コマンド,,,,Angel Command
66,name,16:0_19:Special/Promo 19:黒神龍バグラザード,黒神龍バグラザード,,,,Necrodragon Bagrazard
67,rules,16:0_19:Special/Promo 19:黒神龍バグラザード,"■このクリーチャーは、相手プレイヤーを攻撃できない。
■このクリーチャーは、タップされていない光のクリーチャーを攻撃できる。",,,,"■ This creature can't attack players.
■ This creature can attack untapped light creatures."
68,flavor,16:0_19:Special/Promo 19:黒神龍バグラザード,身震いで飛び散った棘が、立ち並ぶ天空の塔に深い傷跡を残した。,,,,"When it shook its body, the thorns that fired out left deep scars in the towers lining the skies."
69,race,16:0_19:Special/Promo 19:黒神龍バグラザード,ドラゴン・ゾンビ,,,,Zombie Dragon
70,name,17:0_20:Special/Promo 20:ギガジラス,ギガジラス,,,,Gigajiras
71,rules,17:0_20:Special/Promo 20:ギガジラス,■このクリーチャーが攻撃する時、クリーチャーを１体、自分の墓地から自分の手札に戻してもよい。,,,,"■ Whenever this creature attacks, you may return a creature from your graveyard to your hand."
72,flavor,17:0_20:Special/Promo 20:ギガジラス,異なる脳は異なる思考を命令する。それがキマイラの武器であり、弱点でもある。,,,,Different brains command different thoughts. That is both the Chimera's weapon and its weakness.
73,race,17:0_20:Special/Promo 20:ギガジラス,キマイラ,,,,Chimera
74,name,18:0_21:Special/Promo 21:緑神龍ザールベルグ,緑神龍ザールベルグ,,,,Terradragon Zalberg
75,rules,18:0_21:Special/Promo 21:緑神龍ザールベルグ,■このクリーチャーをバトルゾーンに出した時、相手のマナゾーンからカードを２枚まで選び、持ち主の墓地に置く。,,,,"■ When you put this creature into the battle zone, choose up to 2 cards in your opponent's mana zone and put them into their graveyard."
76,flavor,18:0_21:Special/Promo 21:緑神龍ザールベルグ,龍を怖れよ。そして、他のどの獣も怖れるな。,,,,"Fear the dragons, and no longer fear any other beast."
77,race,18:0_21:Special/Promo 21:緑神龍ザールベルグ,アース・ドラゴン,,,,Earth Dragon
78,name,19:0_22:Special/Promo 22:黒神龍ゼキラ,黒神龍ゼキラ,,,,Necrodragon Zekira
79,rules,19:0_22:Special/Promo 22:黒神龍ゼキラ,■このクリーチャーをバトルゾーンに出した時、自分のクリーチャーを１体破壊する。,,,,"■ When you put this creature, destroy one of your creatures."
80,flavor,19:0_22:Special/Promo 22:黒神龍ゼキラ,どんな犠牲も、勝利よりは軽い。,,,,Victory is worth any sort of sacrifice.
81,race,19:0_22:Special/Promo 22:黒神龍ゼキラ,ドラゴン・ゾンビ,,,,Zombie Dragon
82,name,20:0_23:Special/Promo 23:紅神龍ガルドス,紅神龍ガルドス,,,,Magmadragon Gardos
83,rules,20:0_23:Special/Promo 23:紅神龍ガルドス,"■スピードアタッカー(このクリーチャーは召喚酔いしない）
■このクリーチャーは、相手プレイヤーを攻撃できない。
■自分のターンが終わる時、このクリーチャーを自分の手札に戻す。",,,,"■ Speed attacker (This creature doesn't get summoning sickness.)
■ This creature can't attack players.
■ At the end of your turn, return this creature to your hand."
84,flavor,20:0_23:Special/Promo 23:紅神龍ガルドス,犠牲を強いる勝利ほど虚しいものはない。,,,,There is nothing emptier than victory won through sacrifice.
85,race,20:0_23:Special/Promo 23:紅神龍ガルドス,ボルケーノ・ドラゴン,,,,Volcano Dragon
86,name,21:0_24:Special/Promo 24:キッキ・ヤコッピ,キッキ・ヤコッピ,,,,Kicky Yacoopy
87,rules,21:0_24:Special/Promo 24:キッキ・ヤコッピ,■このクリーチャーは、タップされていないクリーチャーを攻撃できる。,,,,■ This creature can attack untapped creatures.
88,flavor,21:0_24:Special/Promo 24:キッキ・ヤコッピ,つぶらな瞳の探検家。今日も元気に王様捜し。,,,,"An adventurer with cute, round eyes. And today, it cheerfully searches for its prince once again."
89,race,21:0_24:Special/Promo 24:キッキ・ヤコッピ,ファイアー・バード,,,,Fire Bird
90,name,22:0_25:Special/Promo 25:フィスト・ブレーダー,フィスト・ブレーダー,,,,Fist Blader
91,rules,22:0_25:Special/Promo 25:フィスト・ブレーダー,"■ブロッカー（相手クリーチャーが攻撃する時、このクリーチャーをタップして、その攻撃を阻止してもよい。その後、その相手クリーチャーとバトルする）
■このクリーチャーは攻撃することができない。",,,,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack."
92,flavor,22:0_25:Special/Promo 25:フィスト・ブレーダー,新たな刃は闘いの中で研ぎ澄まされ、竜を貫く時を待つ。,,,,"This new blade is sharpened in the heat of battle, and it waits for the moment it will pierce the dragons themselves."
93,race,22:0_25:Special/Promo 25:フィスト・ブレーダー,マーフォーク,,,,Merfolk
94,name,23:0_26:Special/Promo 26:建機男,建機男,,,,Construction Mutant
95,rules,23:0_26:Special/Promo 26:建機男,■このクリーチャーが破壊される時、墓地に置くかわりに手札に戻してもよい。そうした場合、自分の手札を１枚捨てる。,,,,"■ When this creature would be destroyed, you may return it to your hand instead. If you do, discard a card from your hand."
96,flavor,23:0_26:Special/Promo 26:建機男,掘削への偏執的な愛情が、他の全てを忘れさせた。その忘れっぷりは、気付かず自分の死体を掘削するほどだ。,,,,"Its obsessive love of excavation made it forget everything else. It digs so mindlessly, it could unearth its own corpse without noticing."
97,race,23:0_26:Special/Promo 26:建機男,へドリアン,,,,Hedrian
98,name,24:0_27:Special/Promo 27:ゲットのノコギリ,ゲットのノコギリ,,,,Gett's Saw
99,rules,24:0_27:Special/Promo 27:ゲットのノコギリ,"■このクリーチャーは、可能なら毎ターン攻撃する。
■パワーアタッカー +1000（攻撃中、このクリーチャーのパワーは+1000される）",,,,"■ This creature attacks each turn if able.
■ Power attacker +1000 (While attacking, this creature gets +1000 power.)"
100,flavor,24:0_27:Special/Promo 27:ゲットのノコギリ,小さなボディにたっぷり刃。,,,,A tiny body packed with blades.
101,race,24:0_27:Special/Promo 27:ゲットのノコギリ,ゼノパーツ,,,,Xenoparts
102,name,25:0_28:Special/Promo 28:黒神龍バズラデューダ,黒神龍バズラデューダ,,,,Necrodragon Bazradyuda
103,rules,25:0_28:Special/Promo 28:黒神龍バズラデューダ,"■Ｗ・ブレイカー（このクリーチャーはシールドを２枚ブレイクする）
■このクリーチャーが破壊される時、種族にドラゴンとあるカードを１枚、自分の手札から捨ててもよい。そうした場合、このクリーチャーは墓地に置かれるかわりにバトルゾーンにとどまる。",,,,"■ Double breaker (This creature breaks 2 shields.)
■ When this creature would be destroyed, you may discard a Dragon from your hand. If you do, this creature stays in the battle zone instead."
104,race,25:0_28:Special/Promo 28:黒神龍バズラデューダ,ドラゴン・ゾンビ,,,,Zombie Dragon
105,name,26:0_29:Special/Promo 29:ボルスレッド・ファイアー・ドラゴン,ボルスレッド・ファイアー・ドラゴン,,,,Bolsred Fire Dragon
106,rules,26:0_29:Special/Promo 29:ボルスレッド・ファイアー・ドラゴン,"■Ｗ・ブレイカー（このクリーチャーはシールドを２枚ブレイクする）
■このクリーチャーが攻撃する時、種族にドラゴンとあるクリーチャーを１体、自分の手札から捨ててもよい。そうした場合、そのクリーチャーとパワーが同じかそれ以下の相手のクリーチャーを１体、破壊する。",,,,"■ Double breaker (This creature breaks 2 shields.)
■ Whenever this creature attacks, you may discard a Dragon from your hand. If you do, destroy one of your opponent's creatures that has power equal to or less than the discarded Dragon."
107,race,26:0_29:Special/Promo 29:ボルスレッド・ファイアー・ドラゴン,アーマード・ドラゴン,,,,Armored Dragon
108,name,27:0_30:Special/Promo 30:聖神龍アルティメス,聖神龍アルティメス,,,,"Altimeth, Holy Divine Dragon"
109,rules,27:0_30:Special/Promo 30:聖神龍アルティメス,"■Ｗ・ブレイカー
■自分のクリーチャーはターンの開始時にブロッカーを得る時がある。
■このクリーチャーがバトルゾーンを離れる時、山札の上から一枚目を自分のシールドに加える。
■このクリーチャーがバトルゾーンに出るか墓地に置かれたとき、相手のクリーチャーを数体選んでタップ出来る時がある。",,,,"■ Double breaker
■ Each turn you may have all of your creatures get ""blocker"" until the end of your opponent's turn.
■ When this creature leaves the battle zone, put the top card of your deck into your shield zone face down.
■ When you put this creature into the battle zone, you may tap all your opponent's creatures."
110,race,27:0_30:Special/Promo 30:聖神龍アルティメス,ホーリー・ドラゴン,,,,Holy Dragon
111,name,28:0_31:Special/Promo 31:蒼神龍ウォルフィース,蒼神龍ウォルフィース,,,,"Wolfis, Blue Divine Dragon"
112,rules,28:0_31:Special/Promo 31:蒼神龍ウォルフィース,"■Ｗ・ブレイカー
■このクリーチャーはブロックされない。
■このクリーチャーがバトルゾーンにいる間にシールドが破られる時、そのシールドをシールドトリガーとして使える時がある。
■このクリーチャーが墓地に置かれる時、手札に戻る時がある。",,,,"■ Double breaker (This creature breaks 2 shields.)
■ This creature can't be blocked.
■ While this creature is in the battle zone, whenever one of your shields is broken, there is a chance you can use that shield as a shield trigger.
■ When this creature would be destroyed, there is a chance you may return it to your hand instead."
113,race,28:0_31:Special/Promo 31:蒼神龍ウォルフィース,サイバー・ドラゴン,,,,Cyber Dragon
114,name,29:0_32:Special/Promo 32:黒神龍ガルバロス,黒神龍ガルバロス,,,,Necrodragon Galbalos
115,rules,29:0_32:Special/Promo 32:黒神龍ガルバロス,"■Ｗ・ブレイカー
■このクリーチャーが、バトルゾーンに出るか攻撃するか墓地に置かれた時に、何かが起こる事がある。",,,,"■ Double breaker
■ Whenever this creature attacks or is put into your graveyard from the battle zone, you may choose one of the following. These effects can only be used once per turn:
> Put one of your opponent's shields into their graveyard.
> Your opponent discards a card from their hand.
> Destroy one of your opponent's creatures."
116,race,29:0_32:Special/Promo 32:黒神龍ガルバロス,ドラゴン・ゾンビ,,,,Zombie Dragon
117,name,30:0_33:Special/Promo 33:ボルブレイズ・ドラゴン,ボルブレイズ・ドラゴン,,,,Bolblaze Dragon
118,rules,30:0_33:Special/Promo 33:ボルブレイズ・ドラゴン,"■Ｗ・ブレイカー
■スピードアタッカー
■このクリーチャーが攻撃する時、相手のマナゾーンが減る事がある。
■このクリーチャーがシールドをブレイクする時、相手は直接そのシールドを墓地に置く事がある。
■このクリーチャーはタップされていないクリーチャーを攻撃できる時がある。",,,,"■ Double breaker (This creature breaks 2 shields.)
■ Speed attacker (This creature doesn't get summoning sickness.)
■ Whenever this creature attacks, there is a chance 2 cards are put from your opponent's mana zone into their graveyard.
■ Whenever this creature breaks a shield, there is a chance your opponent puts that shield into their graveyard instead.
■ There is a chance this creature can attack untapped creatures."
119,race,30:0_33:Special/Promo 33:ボルブレイズ・ドラゴン,アーマード・ドラゴン,,,,Armored Dragon
120,name,31:0_34:Special/Promo 34:緑神龍ハルクーンベルガ,緑神龍ハルクーンベルガ,,,,Terradragon Hulcoon Berga
121,rules,31:0_34:Special/Promo 34:緑神龍ハルクーンベルガ,"■このクリーチャーがタップされている時、バトルゾーンにいる自分の他のクリーチャーはＷ・ブレイカーとパワーアタッカー+4000を得る。
■毎ターン、このクリーチャーのパワーはランダムに強くなる。
■このクリーチャーは、パワーによってはＷ・ブレイカーかトリプルブレイカーを得る。",,,,"■ While this creature is tapped, your other creatures in the battle zone get ""power attacker +4000"" and ""double breaker"".
■ This creature's power randomly increases at the end of each turn while it is tapped.
■ This creature gets ""Double Breaker"" or ""Triple Breaker"" depending on its power."
122,race,31:0_34:Special/Promo 34:緑神龍ハルクーンベルガ,アース・ドラゴン,,,,Earth Dragon
123,name,32:0_35:Special/Promo 35:神滅竜騎ガルザーク,神滅竜騎ガルザーク,,,,"Galzark, Divine Destruction Dragon Knight"
124,rules,32:0_35:Special/Promo 35:神滅竜騎ガルザーク,"■マナゾーンに置く時、このカードはタップして置く。
■バトルゾーンに自分のドラゴンが他に１体でもあれば、このクリーチャーは「パワーアタッカー+6000」と「Ｔ・ブレイカー」を得る。
■Ｗ・ブレイカー
■このクリーチャーは攻撃されない。",,,,"(This creature is put into your mana zone tapped.)
■ Double breaker (This creature breaks 2 shields.)
■ This creature can't be attacked.
■ If you have at least another Dragon in the battle zone, this creature gets ""Power attacker +6000"" and ""Triple breaker"". (A creature that has ""triple breaker"" breaks 3 shields.)"
125,flavor,32:0_35:Special/Promo 35:神滅竜騎ガルザーク,滅びの声が響く時、世界の歴史は悲鳴をあげる。,,,,"When it lets out its roar of destruction, the history of the world cries out in anguish."
126,race,32:0_35:Special/Promo 35:神滅竜騎ガルザーク,アーマード・ドラゴン/ドラゴン・ゾンビ,,,,Armored Dragon/Zombie Dragon
127,name,33:0_36:Special/Promo 36:勇騎恐皇フォルテ,勇騎恐皇フォルテ,,,,"Forte, Brave Fear Lord"
128,rules,33:0_36:Special/Promo 36:勇騎恐皇フォルテ,"■マナゾーンに置く時、このカードはタップして置く。
■このクリーチャーがブロックされた時、「ブロッカー」を持つ相手のクリー
チャーをすべて破壊する。
■Ｗ・ブレイカー",,,,"(This creature is put into your mana zone tapped.)
■ Whenever this creature is blocked, destroy all your opponent's creatures that have ""blocker"".
■ Double breaker"
129,flavor,33:0_36:Special/Promo 36:勇騎恐皇フォルテ,異世界よりの刺客は闇に導かれ、その憎悪は業火よりも深く熱い。,,,,"Assassins from the other world are guided by darkness, stoking their hatred deeper than the fires of hell."
130,race,33:0_36:Special/Promo 36:勇騎恐皇フォルテ,ダークロード/ヒューマノイド,,,,Dark Lord/Human
131,name,34:0_37:Special/Promo 37:無双竜機ドルザーク,無双竜機ドルザーク,,,,Super Dragon Machine Dolzark
132,rules,34:0_37:Special/Promo 37:無双竜機ドルザーク,"■マナゾーンに置く時、このカードはタップして置く。
■自分の他の、種族にドラゴンとあるクリーチャーが攻撃した時、バトルゾーン
にある相手のパワー5000以下のクリーチャーを１体選び、持ち主のマナゾーンに置いてもよい。
■Ｗ・ブレイカー",,,,"■ (This creature is put into your mana zone tapped.)
■ Whenever one of your other creatures that has Dragon in its race attacks, you may choose one of your opponent's creatures in the battle zone that has power 5000 or less and put it into his mana zone.
■ Double breaker (This creature breaks 2 shields.)"
133,flavor,34:0_37:Special/Promo 37:無双竜機ドルザーク,宿命の出会いで死闘は始まり、運命の再会で闘いは終わる。,,,,
134,race,34:0_37:Special/Promo 37:無双竜機ドルザーク,アーマード・ドラゴン/アース・ドラゴン,,,,Armored Dragon/Earth Dragon
135,name,35:1_100:DM-01 100:凶戦士ブレイズ・クロー,凶戦士ブレイズ・クロー,,,,Deadly Fighter Braid Claw
136,rules,35:1_100:DM-01 100:凶戦士ブレイズ・クロー,■このクリーチャーは、毎ターン攻撃しなければならない。,,,,■ This creature attacks each turn if able.
137,race,35:1_100:DM-01 100:凶戦士ブレイズ・クロー,ドラゴノイド,,,,Dragonoid
138,name,36:1_8:DM-01 8:ボルシャック・ドラゴン,ボルシャック・ドラゴン,,,,Bolshack Dragon
