list_index,master_text_id,kind,source_japanese,dormant_list2_reference,translation
10,476,card_text,インビンシブル・テクノロジー,Invincible Technology,Invincible Technology
11,477,card_text,＊自分の山札を見る。その中から好きな枚数のカードを選び、相手に見せてから自分の手札に加えてもよい。その後、山札をシャッフルする。,"Search your deck. You may take any number of cards from your deck, show those cards to your opponent, and put them into your hand. Then shuffle your deck.","■ Search your deck. You may take any number of cards from your deck, show those cards to your opponent, and put them into your hand. Then shuffle your deck."
12,478,card_text,全宇宙の真理が記されているというアカシック・レコード。サイバーロードはついにその解読の糸口を掴んだ。,"The Acashic Record is said to hold the secrets of the universe. After centuries of searching, the Cyberlords have at last found a clue to deciphering it.",
13,479,card_text,戦車男,Tank Man,Tank Mutant
14,480,card_text,"＊このクリーチャーで攻撃する代わりに、タップして次のt能力を使ってもよい。
t相手はバトルゾーンにある自分自身のクリーチャーを1体選び、持ち主の墓地に置く。","Instead of having this creature attack, you may tap it to use its t ability.
t Your opponent chooses 1 of his or her creatures in the battle zone and puts it into his or her graveyard.","■ Instead of having this creature attack, you may tap it to use its tap ability.
 Your opponent chooses one of his creatures in the battle zone and destroys it."
15,481,card_text,万物融解砲発射！,Fire the Particle Disruptor Cannon!,
16,482,card_text,ヘドリアン,ヘドリアン,Hedrian
17,483,card_text,インビンシブル・アビス,Invincible Abyss,Invincible Abyss
18,484,card_text,＊相手は、バトルゾーンにある自分自身のクリーチャーすべてを持ち主の墓地に置く。,Your opponent puts all his or her creatures from the battle zone into his or her graveyard.,■ Destroy all your opponent's creatures.
19,485,card_text,猛毒の瘴気立ちこめる大爆発の跡地から、あらゆる生者を憎み、あらゆる魂を汚す恐れと悲しみの精神波動が放出された。,"A miasma of psychic energy pulses out of the explosion crater, polluting all it touches.",
20,486,card_text,勇神兵エグゾリウス,Valiant Warrior Exorious,Valiant Warrior Exorious
21,487,card_text,"*このクリーチャーは、タップされていないクリーチャーを攻撃できる。
*パワーアタッカー +3000（攻撃中、このクリーチャーのパワーは+3000される）","This creature can attack untapped creatures.
Power attacker +3000 (While attacking, this creature gets +3000 power.)","■ This creature can attack untapped creatures.
■ Power attacker +3000 (While attacking, this creature gets +3000 power.)"
22,488,card_text,必殺のブレードホイールで防衛網を一撃粉砕！,His wheel blade can fell hundred with but a single stroke.,
23,489,card_text,アーマロイド,アーマロイド,Armorloid
24,490,card_text,インビンシブル・フォートレス,Invincible Fortress,Invincible Cataclysm
25,491,card_text,＊相手のシールドを裏向きのまま3枚まで選び、表にして持ち主の墓地に置く。（その「S・トリガー」は使えない）,"Choose up to 3 of your opponent's shields and put them into your opponent's graveyard. (If any of those shields have ""shield triggers,"" they don't work.)",■ Choose up to 3 of your opponent's shields and put them into his graveyard.
26,492,card_text,意志持たぬ光の軍隊により、炎の都は瓦礫と化した。だが、山中深くに隠された最終兵器から報復が始まろうとしていた。,"The capital of the Fire civilization was leveled by the mindless forces of Light. But deep in the mountains, the Fire doomsday weapon waits to exact revenge.",
27,493,card_text,ガイアクロウ・ワスプ,Gaea Claw Wasp,Splinterclaw Wasp
28,494,card_text,"＊パワーアタッカー+3000（攻撃中、このクリーチャーのパワーは+3000される）
＊W・ブレイカー（シールドを攻撃したとき、このクリーチャーはシールドを2枚ブレイクする）
＊このクリーチャーがブロックされるとき、相手のシールドが1枚でもあれば、そのうちの１枚をブレイクする。","Power attacker +3000 (While attacking, this creature gets +3000 power.)
Double breaker (This creature breaks 2 shields.)
Whenever this creature becomes blocked, it breaks 1 shield. (If your opponent has no shields, it doesn't attack him or her.)","■ Power attacker +3000 (While attacking, this creature gets +3000 power.)
■ Double breaker (This creature breaks 2 shields.)
■ Whenever this creature becomes blocked, it breaks one of your opponent's shields."
29,495,card_text,ジャイアント・インセクト,ジャイアント・インセクト,Giant Insect
30,496,card_text,インビンシブル・パワー,Invincible Power,Invincible Unity
31,497,card_text,＊このターンが終わるまで、バトルゾーンにある自分のクリーチャーのパワーはそれぞれ＋8000され、「T・ブレイカー」を得る。（シールドを攻撃したとき、このクリーチャーはシールドを3枚ブレイクする）,"Each of your creatures in the battle zone gets +8000 power and ""triple breaker"" until the end of this turn. (A creature that has ""triple breaker"" breaks 3 shields.)","■ Each of your creatures in the battle zone gets +8000 power and ""triple breaker"" until the end of the turn. (A creature that has ""triple breaker"" breaks 3 shields.)"
32,498,card_text,数年に一度、世界樹は膨大なエナジーを放出する。それは、勇気と力を与える光の洪水だ。再生が終わり、戦いの時が来た。,"Once every several years, the World Tree can release a large amount of energy, a flood of light that emboldens all who see it, strengthening them for battle.",
33,499,card_text,守護聖天アーク・バイン,"Arc Bine, Guardian Angel","Arc Bine, the Astounding"
34,500,card_text,"＊進化－自分のガーディアン1体の上に置く。
＊このクリーチャーがバトルゾーンにある間、バトルゾーンにある自分の光のクリーチャーをタップし、攻撃する代わりに次のt 能力を使ってもよい。
t バトルゾーンにある相手のクリーチャーを1体選び、タップする。","Evolution-Put on one of your Guardians.
While this creature is in the battle zone, each of your light creatures may tap instead of attacking to use this t ability:
t Choose one of your opponent's creatures in the battle zone and tap it.","■ Evolution-Put on one of your Guardians.
■ Each of your light creatures may tap instead of attacking to use this creature's tap ability.
 Choose one of your opponent's creatures in the battle zone and tap it."
35,501,card_text,ガーディアン,ガーディアン,Guardian
36,502,card_text,聖域の守護者フォボス・エレインγ,Sanctum Guardian Forbos Elaine γ,"Forbos, Sanctum Guardian Q"
37,503,card_text,"oS このクリーチャーがバトルゾーンに出たとき、自分の山札を見る。その中から呪文を1枚選び、相手に見せてから自分の手札に加えてもよい。その後、山札をシャッフルする。
サバイバー（このクリーチャーがバトルゾーンにある間、自分の他のサバイバーも上のoS 能力を得る）","oS When this creature is put into the battle zone, search your deck. You may take a spell from your deck, show that spell to your opponent, and put it into your hand. Then shuffle your deck.
Survivor (While this creature is in the battle zone, each of your other Survivors also gets this oS ability.)","■ Survivor (Each of your Survivors has this creature's Survivor ability.)
  When you put this creature into the battle zone, search your deck. You may take a spell from your deck, show that spell to your opponent, and put it into your hand. Then shuffle your deck."
38,504,card_text,ガーディアン［サバイバー］,ガーディアン［サバイバー］,Survivor/Guardian
39,505,card_text,綺羅星の精霊ガリアル,"Gariel, Elemental of the Shining Stars","Gariel, Elemental of Sunbeams"
40,506,card_text,"＊呪文を唱えたターンのみ、このクリーチャーを召喚できる。
＊W・ブレイカー（シールドを攻撃したとき、このクリーチャーはシールドを2枚ブレイクする）","You can summon this creature only if you have cast a spell this turn.
Double breaker (This creature breaks 2 shields.)","■ You can summon this creature only if you have cast a spell this turn.
■ Double breaker (This creature breaks 2 shields.)"
41,507,card_text,精霊の翼は闇を切り裂き炎を鎮める。,Elementals' wings are infused with a light so powerful it can rend any darkness.,
42,508,card_text,エンジェル・コマンド,エンジェル・コマンド,Angel Command
43,509,card_text,聖騎士コスモグールド,"Cosmogoold, Holy Knight","Cosmogold, Spectral Knight"
44,510,card_text,"＊このクリーチャーで攻撃する代わりに、タップして次のt 能力を使ってもよい。
t 自分のマナゾーンから呪文を1枚選び、自分の手札に戻す。","Instead of having this creature attack, you may tap it to use its t ability.
t Return a spell from your mana zone to your hand.","■ Instead of having this creature attack, you may tap it to use its tap ability.
 Return a spell from your mana zone to your hand."
45,511,card_text,星々の輝きを反射する。その者が生まれし場所は虹の生まれる地。,His armor glows with the reflection of a thousand stars.,
46,512,card_text,レインボー・ファントム,レインボー・ファントム,Rainbow Phantom
47,513,card_text,宣凶師エルリオット,"Ellitt, the Missionary","Telitol, the Explorer"
48,514,card_text,"{B}ブロッカー（相手クリーチャーが攻撃するとき、このクリーチャーをタップして、その攻撃を阻止してよい。その後、その相手クリーチャーとバトルする）
＊このクリーチャーは、相手プレイヤーを攻撃できない。
＊このクリーチャーがバトルゾーンに出たとき、自分のシールドをすべて見てもよい。その後、それを元に戻す。","{B} Blocker (When one of your opponent's creatures attacks, you may tap this creature to stop the attack. Then the two creatures battle.)
This creature can't attack players. 
When this creature is put into the battle zone, you may look at your shields. Then put them back where they were.","■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ When you put this creature into the battle zone, you may look at your shields. Then put them back where they were.
■ This creature can't attack players."
49,515,card_text,グラディエーター,グラディエーター,Gladiator
50,516,card_text,ジャスティス・バインド,Bonds of Justice,Bonds of Justice
51,517,card_text,"{ST}S・トリガー（この呪文をシールドゾーンから手札に加えるとき、コストを支払わずにすぐ唱えてよい）
＊バトルゾーンにある、「ブロッカー」以外のクリーチャーをすべてタップする。","{ST} Shield trigger (If this spell is put from your shield zone into your hand, you may cast it immediately for no cost.)
Tap all untapped creatures in the battle zone that don't have ""blocker"".","■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Tap all creatures in the battle zone that don't have ""blocker."""
52,518,card_text,断罪の時。,The time of judgment has come. ,
53,519,card_text,フォート・メガクラスター,Fort Megacluster,Fort Megacluster
54,520,card_text,"＊進化－自分のサイバー・クラスター1体の上に置く。
＊このクリーチャーがバトルゾーンにある間、バトルゾーンにある自分の水のクリーチャーをタップし、攻撃する代わりに次のt 能力を使ってもよい。
t カードを1枚引く。","Evolution-Put on one of your Cyber Clusters.
While this creature is in the battle zone, each of your water creatures may tap instead of attacking to use this t ability:
t Draw a card.","■ Evolution-Put on one of your Cyber Clusters.
■ Each of your water creatures may tap instead of attacking to use this creature's tap ability.
 Draw a card."
55,521,card_text,サイバー・クラスター,サイバー・クラスター,Cyber Cluster
56,522,card_text,キング・トラファルガー,King Trafalger,King Triumphant
57,523,card_text,"＊W・ブレイカー
＊相手がクリーチャーを召喚するか呪文を唱えた場合、そのターンが終わるまで、このクリーチャーは「ブロッカー」を得る。（相手クリーチャーが攻撃するとき、このクリーチャーをタップして、その攻撃を阻止してよい。その後、その相手クリーチャーとバトルする）","Double breaker
Whenever your opponent summons a creature or casts a spell, this creature gets ""blocker"" until the end of that turn. (When one of your opponent's creatures attacks, you may tap a creature that has ""blocker"" to stop the attack. Then the two creatures battle.)","■ Whenever your opponent summons a creature or casts a spell, this creature gets ""blocker"" until the end of the turn. (Whenever an opponent's creature attacks, you may tap a creature that has ""blocker"" to stop the attack. Then the 2 creatures battle.)
■ Double breaker (This creature breaks 2 shields.)"
58,524,card_text,リヴァイアサン,リヴァイアサン,Leviathan
59,525,card_text,ナイト・クロウラー,Night Crawler,Midnight Crawler
60,526,card_text,"＊このクリーチャーがバトルゾーンに出たとき、相手のマナゾーンからカードを1枚選び、持ち主の手札に戻す。
＊W・ブレイカー（シールドを攻撃したとき、このクリーチャーはシールドを2枚ブレイクする）","When this creature is put into the battle zone, choose 1 card in your opponent's mana zone and return it to your opponent's hand.
Double breaker (This creature breaks 2 shields).","■ When you put this creature into the battle zone, choose a card in your opponent's mana zone and return it to his hand.
■ Double breaker (This creature breaks 2 shields.)"
61,527,card_text,夜空に紅く輝く星を見付けたら気をつけなさい。その横で大きな口が貴方を狙っているかもしれない。,"If you see twinkling red stars at night, beware--there's likely a mouth attached to them.","If you spot a red star shining in the night sky, beware. A huge mouth beside it may be aiming for you."
62,528,card_text,アースイーター,アースイーター,Earth Eater
63,529,card_text,ラプター・フィッシュ,Raptor Fish,Raptor Fish
64,530,card_text,＊このクリーチャーがバトルゾーンに出たとき、自分の手札を山札に戻してシャッフルし、その枚数と同じ枚数のカードを引く。,"When this creature is put into the battle zone, count the number of cards in your hand, shuffle those cards into your deck, then draw that many cards.","■ When you put this creature into the battle zone, count the cards in your hand, shuffle those cards into your deck, then draw that many cards."
65,531,card_text,サイバーロードは、より好戦的なチップを搭載させることにした。,The cyberlords made it more aggressive by installing a new control chip.,
66,532,card_text,ゲル・フィッシュ,ゲル・フィッシュ,Gel Fish
67,533,card_text,キュロロ,Kyuroro,Kyuroro
68,534,card_text,＊このクリーチャーがバトルゾーンにある間、自分のシールドが相手のクリーチャーにブレイクされるとき、ブレイクされるシールドを裏向きのまま自分で選ぶ。,"While this creature is in the battle zone, whenever one of your opponent's creatures breaks one of your shields, you choose the shield (without looking).","■ Whenever an opponent's creature would break a shield, you choose the shield instead of your opponent."
69,535,card_text,君達の行動パターンは、既に解析済みだよ。 - キュロロ,Our analysis of your strategy allows us to anticipate your every move. --Kyuroro,
70,536,card_text,サイバーロード,サイバーロード,Cyber Lord
71,537,card_text,ロータス・ミントγ,Lotus Mint γ,Ripple Lotus Q
72,538,card_text,"oS このクリーチャーがバトルゾーンに出たとき、バトルゾーンにある相手のクリーチャーを1体選び、タップしてもよい。
サバイバー（このクリーチャーがバトルゾーンにある間、自分の他のサバイバーも上のoS 能力を得る）","oS When this creature is put into the battle zone, you may choose 1 of your opponent's untapped creatures in the battle zone and tap it.
Survivor (While this creature is in the battle zone, each of your other Survivors also gets this oS ability.)","■ Survivor (Each of your Survivors has this creature's Survivor ability.)
  When you put this creature into the battle zone, you may choose one of your opponent's creatures in the battle zone and tap it."
73,539,card_text,海流にゆらめく花びらは、敵を誘う魔性の踊り子。,"Its petals gently wave in the current, tempting prey to come closer.",
74,540,card_text,サイバー・ウイルス［サバイバー］,サイバー・ウイルス［サバイバー］,Survivor/Cyber Virus
75,541,card_text,恐慌の魔黒デス・スペクター,"Death Specter, the Dark Fear","Frost Specter, Shadow of Age"
76,542,card_text,"＊進化－自分のゴースト1体の上に置く。
＊このクリーチャーがバトルゾーンにある間、バトルゾーンにある自分のゴーストはそれぞれ「スレイヤー」を得る。（そのクリーチャーとバトルした相手クリーチャーは、勝っても持ち主の墓地に置かれる）","Evolution-Put on one of your Ghosts.
While this creature is in the battle zone, each of your Ghosts in the battle zone gets ""Slayer (Even if this creature loses a battle, put the other creature into its owner's graveyard).""","■ Evolution-Put on one of your Ghosts.
■ Each of your Ghosts in the battle zone has ""slayer."" (Whenever a creature that has ""slayer"" battles, destroy the other creature after the battle.)"
77,543,card_text,ゴースト,ゴースト,Ghost
78,544,card_text,戦慄の剛将アブリン,"Abling, the Bloody","Gnarvash, Merchant of Blood"
79,545,card_text,"＊W・ブレイカー（シールドを攻撃したとき、このクリーチャーはシールドを2枚ブレイクする）
＊自分のターンが終わるとき、バトルゾーンにある自分のクリーチャーがこのクリーチャーだけであれば、自分の墓地に置く。","Double breaker (This creature breaks 2 shields.)
When each of your turns ends, if this is your only creature in the battle zone, put it into your graveyard.","■ Double breaker (This creature breaks 2 shields.)
■ At the end of each of your turns, if this is your only creature in the battle zone, destroy it."
80,546,card_text,血が戦場を求めている。,"His heart cries out for a battlefield, his blood sings a dirge of doom.",
81,547,card_text,デーモン・コマンド,デーモン・コマンド,Demon Command
82,548,card_text,闇侯爵ハウクス,"Haucks, Duke of Darkness","Schuka, Duke of Amnesia"
83,549,card_text,＊このクリーチャーがバトルゾーンから自分の墓地に置かれたとき、各プレイヤーは自分自身の手札をすべて、それぞれの墓地に置く。,"When this creature is put from the battle zone into your graveyard, both you and your opponent discard your hands.","■ When this creature is destroyed, each player discards his hand."
84,550,card_text,火の国との密約を思い浮かべ、邪悪に微笑む。,"The secret treaty with the Fire army signed, a soul-chilling chuckle escaped the Duke's throat.",
85,551,card_text,ダークロード,ダークロード,Dark Lord
86,552,card_text,死縛虫グレイブ・ワームγ,Grave Wurmγ,Grave Worm Q
87,553,card_text,"oS このクリーチャーがバトルゾーンに出たとき、自分の墓地からサバイバーを1体選び、自分の手札に戻してもよい。
サバイバー（このクリーチャーがバトルゾーンにある間、自分の他のサバイバーも上のoS 能力を得る）","oS When this creature is put into the battle zone, you may return 1 Survivor from your graveyard to your hand.
Survivor (While this creature is in the battle zone, each of your other Survivors also gets this oS ability.)","■ Survivor (Each of your Survivors has this creature's Survivor ability.)
  When you put this creature into the battle zone, you may return a Survivor from your graveyard to your hand."
88,554,card_text,パラサイトワーム［サバイバー］,パラサイトワーム［サバイバー］,Survivor/Parasite Worm
89,555,card_text,虚空の翼ダークモルダー,"Dark Mulder, Wing of the Void ","Vile Mulder, Wing of the Void"
90,556,card_text,"＊このクリーチャーは、クリーチャーを攻撃できない。
＊W・ブレイカー（シールドを攻撃したとき、このクリーチャーはシールドを2枚ブレイクする）
＊このクリーチャーはバトルに勝っても、バトルの後、持ち主の墓地に置かれる。","This creature can't attack creatures. 
Double breaker (This creature breaks 2 shields.)
Even if this creature wins a battle, put it into your graveyard.","■ This creature can't attack creatures.
■ Double breaker (This creature breaks 2 shields.)
■ When this creature battles, destroy it after the battle."
91,557,card_text,デーモン・コマンド,デーモン・コマンド,Demon Command
92,558,card_text,邪魂転生,Vile Reincarnation,Intense Evil
93,559,card_text,"{ST}S・トリガー（この呪文をシールドゾーンから手札に加えるとき、コストを支払わずにすぐ唱えてよい）
＊バトルゾーンにある自分のクリーチャーを好きな数選び、自分の墓地に置く。その後、そのクリーチャー1体につき2枚カードを引く。","{ST} Shield trigger (If this spell is put from your shield zone into your hand, you may cast it immediately for no cost.)
Put any number of your creatures from the battle zone into your graveyard. Then draw 2 cards for each of those creatures.","■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Destroy any number of your creatures. Then draw that many cards."
94,560,card_text,闇は常に魂を代償に求める。,Every soul has a price--and no one can escape the collector.,
95,561,card_text,シグマ・トゥレイト,Sigma Toolate,Q-tronic Gargantua
96,562,card_text,"＊進化－自分のサバイバー1体の上に置く。
＊クルー・ブレイカー:サバイバー（シールドを攻撃したとき、バトルゾーンにある自分の他のサバイバー1体につき、シールドをさらにもう1枚ブレイクする）","Evolution-Put on one of your Survivors.
Crew breaker-Survivor (This creature breaks 1 more shield for each of your other Survivors in the battle zone.)","■ Evolution-Put on one of your Survivors.
■ Crew breaker-Survivor (This creature breaks one more shield for each of your other Survivors in the battle zone.)"
97,563,card_text,地上の災害に共鳴し、サバイバーはその悲劇を力に変える。,"Resonating with disasters on earth, Survivors turn the tragedies into the source of their power.",
98,564,card_text,サバイバー,サバイバー,Survivor
99,565,card_text,機神装甲ヴァルカイザー,Armored Cannon Valkaizer,Armored Decimator Valkaizer
100,566,card_text,"＊進化－自分のヒューマノイド1体の上に置く。
＊このクリーチャーがバトルゾーンに出たとき、バトルゾーンにある、パワー4000以下の相手のクリーチャーを1体選び、持ち主の墓地に置いてもよい。","Evolution-Put on one of your Humans.
When this creature is put into the battle zone, you may choose 1 of your opponent's creatures in the battle zone that has power 4000 or less and put it into your opponent's graveyard.","■ Evolution-Put on one of your Humans.
■ When you put this creature into the battle zone, you may destroy one of your opponent's creatures that has power 4000 or less."
101,567,card_text,我がマントの元に集まりし者どもよ、光の馬鹿野郎をぶっつぶすぞ！,"Summon your might and follow me, we will ruin them, those light creatures!",
102,568,card_text,ヒューマノイド,ヒューマノイド,Human
103,569,card_text,バザガジール・ドラゴン,Bazagazeal Dragon,Bazagazeal Dragon
104,570,card_text,"＊スピードアタッカー(このクリーチャーは召喚酔いしない）
＊このクリーチャーは、タップされていないクリーチャーを攻撃できる。
＊W・ブレイカー
＊自分のターンが終わるとき、このクリーチャーがバトルゾーンにあれば、自分の手札に戻す。","Speed attacker (This creature doesn't get summoning sickness.)
This creature can attack untapped creatures.
Double breaker
When your turn ends, if this creature is in the battle zone, return it to your hand.","■ Speed attacker (This creature doesn't get summoning sickness.)
■ This creature can attack untapped creatures.
■ Double breaker
■ At the end of your turn, return this creature to your hand."
105,571,card_text,アーマード・ドラゴン,アーマード・ドラゴン,Armored Dragon
106,572,card_text,ピーカプ・リザード,Pikabu Lizard,Badlands Lizard
107,573,card_text,"＊パワーアタッカー +3000（攻撃中、このクリーチャーのパワーは+3000される）
＊このクリーチャーの攻撃がブロックされた場合、バトルは行われない。","Power attacker +3000 (While attacking, this creature gets +3000 power.)
If this creature becomes blocked, stop the attack and no battle happens. (Both creatures stay tapped.)","■ Power attacker +3000 (While attacking, this creature gets +3000 power.)
■ Whenever this creature becomes blocked, no battle happens. (Both creatures stay tapped.)"
108,574,card_text,こいつが居れば、百人力！ - 解体屋ピーカプ,One of these is worth a hundred fighters! --Pikabu the Dismantler,
109,575,card_text,デューンゲッコー,デューンゲッコー,Dune Gecko
110,576,card_text,ピーカプのドライバー,Pikabu Driver,Rikabu's Screwdriver
111,577,card_text,"＊このクリーチャーで攻撃する代わりに、タップして次の t 能力を使ってもよい。
 t バトルゾーンにある相手の「ブロッカー」を持つクリーチャーを1体選び、持ち主の墓地に置く。","Instead of having this creature attack, you may tap it to use its t ability.
t Choose one of your opponent's creatures in the battle zone that has ""blocker"" and put it into your opponent's graveyard.","■ Instead of having this creature attack, you may tap it to use its tap ability.
 Destroy one of your opponent's creatures that has ""blocker."""
112,578,card_text,道具は持ち主に似る。,You build what you know best.,
113,579,card_text,ゼノパーツ,ゼノパーツ,Xenoparts
114,580,card_text,クライシス・ボーラー,Crisis Bowler,Crisis Boulder
115,581,card_text,"{ST}S・トリガー（この呪文をシールドゾーンから手札に加えるとき、コストを支払わずにすぐ唱えてよい）
＊相手は、バトルゾーンかマナゾーンから自分自身のカードを1枚選び、持ち主の墓地に置く。","{ST} Shield trigger (If this spell is put from your shield zone into your hand, you may cast it immediately for no cost.)
Your opponent chooses 1 of his or her cards in the battle zone or in his or her mana zone. Your opponent puts that card into his or her graveyard.","■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Your opponent chooses one of his creatures in the battle zone or a card in his mana zone and puts it into his graveyard."
116,582,card_text,奴らの補給線をぶっちぎれ！ - 凶戦士ブレイズ・クロー,Cut off their supply lines! --Blaze Claw,"""Cut off their supply lines!"" - Deadly Fighter Braid Claw"
117,583,card_text,超空要塞バビロン,Dimensional Fortress Babylon,Living Citadel Vosh
118,584,card_text,"＊進化－自分のコロニー・ビートル1体の上に置く。
＊このクリーチャーがバトルゾーンにある間、バトルゾーンにある自分の自然のクリーチャーをタップし、攻撃する代わりに次の t 能力を使ってもよい。
 t 自分の山札の上から1枚目を、自分のマナゾーンに置く。","Evolution-Put on one of your Colony Beetles.
While this creature is in the battle zone, each of your nature creatures may tap instead of attacking to use this t ability:
t Put the top card of your deck into your mana zone.","■ Evolution-Put on one of your Colony Beetles.
■ Each of your nature creatures may tap instead of attacking to use this creature's tap ability.
 Put the top card of your deck into your mana zone."
119,585,card_text,コロニー・ビートル,コロニー・ビートル,Colony Beetle
120,586,card_text,殺戮の化身,Smash Totem,Clobber Totem
121,587,card_text,"＊パワーアタッカー +2000（攻撃中、このクリーチャーのパワーは+2000される）
＊このクリーチャーは、パワー5000以下のクリーチャーにブロックされない。
＊W・ブレイカー（シールドを攻撃したとき、このクリーチャーはシールドを2枚ブレイクする）","Power attacker +2000 (While attacking, this creature gets +2000 power.)
This creature can't be blocked by any creature that has power 5000 or less.
Double breaker (This creature breaks 2 shields.)","■ Power attacker +2000 (While attacking, this creature gets +2000 power.)
■ This creature can't be blocked by any creature that has power 5000 or less.
■ Double breaker (This creature breaks 2 shields.)"
122,588,card_text,ミステリー・トーテム,ミステリー・トーテム,Mystery Totem
123,589,card_text,シェル・ファクトリーγ,Shell Factory γ,Factory Shell Q
124,590,card_text,"oS このクリーチャーがバトルゾーンに出たとき、自分の山札を見る。その中からサバイバーを1体選び、相手に見せてから自分の手札に加えてもよい。その後、山札をシャッフルする。
サバイバー（このクリーチャーがバトルゾーンにある間、自分の他のサバイバーも上のoS 能力を得る）","oS When this creature is put into the battle zone, search your deck. You may take a Survivor from your deck, show that Survivor to your opponent, and put it into your hand. Then shuffle your deck.
Survivor (While this creature is in the battle zone, each of your other Survivors also gets this oS ability.)","■ Survivor (Each of your Survivors has this creature's Survivor ability.)
  When you put this creature into the battle zone, search your deck. You may take a Survivor from your deck, show that Survivor to your opponent, and put it into your hand. Then shuffle your deck."
125,591,card_text,コロニー・ビートル［サバイバー］,コロニー・ビートル［サバイバー］,Survivor/Colony Beetle
126,592,card_text,戦いの化身,Battle Totem,Forbidding Totem
127,593,card_text,＊このクリーチャーがバトルゾーンにある間、相手の攻撃クリーチャーは、可能であればミステリー・トーテムを攻撃する。,"While this creature is in the battle zone, your opponent's attacking creatures attack Mystery Totems if able.",■ Your opponent's attacking creatures attack Mystery Totems if able.
128,594,card_text,トーテムの気質は本来の姿から大きな影響を受ける。たとえば、戦いの化身は一本気で直線的だ。,"The personality of an avatar is a reflection of the nature it represents. For example, the avatar of war is straightforward and difficult to control.",
129,595,card_text,ミステリー・トーテム,ミステリー・トーテム,Mystery Totem
130,596,card_text,魅了妖精チャミリア,Charmilia the Enticer,"Charmilia, the Enticer"
131,597,card_text,"＊このクリーチャーで攻撃する代わりに、タップして次の t 能力を使ってもよい。
 t 自分の山札を見る。その中からクリーチャーを1体選び、相手に見せてから自分の手札に加えてもよい。その後、山札をシャッフルする。","Instead of having this creature attack, you may tap it to use its t ability.
t Search your deck. You may take a creature from your deck, show that creature to your opponent, and put it into your hand. Then shuffle your deck.","■ Instead of having this creature attack, you may tap it to use its tap ability.
 Search your deck. You may take a creature from your deck, show that creature to your opponent, and put it into your hand. Then shuffle your deck."
132,598,card_text,雪国には人を惑わす妖精がいるという。,Across the snow fields walk spirits which enthrall all who see them.,
133,599,card_text,スノーフェアリー,スノーフェアリー,Snow Faerie
134,600,card_text,神秘の宝箱,Mysterious Treasure Chest,Mystic Treasure Chest
135,601,card_text,＊自分の山札を見る。その中から自然以外のカードを1枚選び、自分のマナゾーンに置いてもよい。その後、山札をシャッフルする。,Search your deck. You may take a non-nature card from your deck and put it into your mana zone. Then shuffle your deck.,■ Search your deck. You may take a non-nature card from your deck and put it into your mana zone. Then shuffle your deck.
136,602,card_text,ひーふーみーよー。ん、一つ足りないぞ。 - 白銀の牙,One...Two...Three...Four...Huh? One's missing. --Silver Fang,
137,603,card_text,飛雲の求道者ダバ・トーレ,"Dava Torey, Seeker of Clouds","Dava Torey, Seeker of Clouds"
