seq,large_chunk,small_chunk,resource_key,canonical_key,internal_id,japanese_name,english_name,card_type,race,rules,flavor,mapping,large_chunk_size,inner_archive_size,outer_slack
10,687,1370,0_09A,0_9,8,超竜バハム,Überdragon Baham,EVOLUTION CREATURE,Armored Dragon,"■ Evolution-Put on one of your Armored Dragons.
■ This creature breaks an additional shield for each of your Dragonoids in the battle zone.","Its form, its courage, its strength - all will be remembered through the ages.",alt-art -> 0_9,139264,138240,1024
11,688,1371,0_10,0_10,9,大昆虫ジェネラルマンティス,"Dyno Mantis, the Mightspinner",EVOLUTION CREATURE,Giant Insect,"■ Evolution-Put on one of your Giant Insects.
■ Double breaker (This creature breaks 2 shields.)
■ Each of your other creatures in the battle zone that has power 5000 or more breaks one more shield.",,crosswalk,139264,138240,1024
12,689,1372,0_11,8_1,313,開眼者クーカイ,"Kuukai, Finder of Karma",CREATURE,Mecha Thunder,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ Evolution-Put on one of your Mecha Thunders.
■ Whenever this creature blocks, untap it after it battles.
■ This creature can't attack players.",,promo-alt -> 8_1,135168,133888,1280
13,690,1373,0_12,0_12,10,超竜ザシャック,Überdragon Zaschack,EVOLUTION CREATURE,Armored Dragon,"■ Evolution-Put on one of your Armored Dragons.
■ Crew breaker-Armored Dragon (This creature breaks one more shield for each of your other Armored Dragons in the battle zone.)",,crosswalk,137216,135936,1280
14,691,1374,0_13,0_35,32,神滅竜騎ガルザーク,"Galzark, Divine Destruction Dragon Knight",CREATURE,Armored Dragon/Zombie Dragon,"(This creature is put into your mana zone tapped.)
■ Double breaker (This creature breaks 2 shields.)
■ This creature can't be attacked.
■ If you have at least another Dragon in the battle zone, this creature gets ""Power attacker +6000"" and ""Triple breaker"". (A creature that has ""triple breaker"" breaks 3 shields.)","When it lets out its roar of destruction, the history of the world cries out in anguish.",alt-art -> 0_35,135168,135168,0
15,692,1375,0_14,0_14,11,電脳聖霊グラリス,"Glaris, Electro-Elemental",CREATURE,Angel Command/Gel Fish,"■ (This creature is put into your mana zone tapped.)
■ Your creatures can't be attacked by creatures that have the same civilization.","Before the glitter of the shining stars and the overflowing wisdom of the sea, even its enemies were spellbound.",crosswalk,120832,119296,1536
16,693,1376,0_15,0_15,12,ネオ・ブレイン,Brain Serum,SPELL,,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Draw up to 2 cards.",,crosswalk,118784,117504,1280
17,694,1377,0_16,0_16,13,魔刻の騎士オルゲイト,"Olgate, Nightmare Samurai",CREATURE,Demon Command,"■ Double breaker (This creature breaks 2 shields.)
■ Whenever one of your creatures is destroyed, you may untap this creature.",,crosswalk,149504,147712,1792
18,695,1378,0_17,0_17,14,バルキリー・ドラゴン,Velyrika Dragon,CREATURE,Armored Dragon,"■ When you put this creature into the battle zone, search your deck. You may take an Armored Dragon from your deck, show that Armored Dragon to your opponent, and put it into your hand. Then shuffle your deck.
■ Double breaker (This creature breaks 2 shields.)",,crosswalk,145408,143616,1792
19,696,1379,0_18,0_18,15,新星の精霊アルシア,"Alshia, Nova Elemental",CREATURE,Angel Command,"■ When you put this creature into the battle zone, you may return a spell from your graveyard to your hand.",Even darkness will someday fade. Even a sleepless night will someday see dawn. No suffering lasts forever. Such is this world.,crosswalk,133120,132096,1024
20,697,1380,0_19,0_19,16,黒神龍バグラザード,Necrodragon Bagrazard,CREATURE,Zombie Dragon,"■ This creature can't attack players.
■ This creature can attack untapped light creatures.","When it shook its body, the thorns that fired out left deep scars in the towers lining the skies.",crosswalk,147456,145664,1792
21,698,1381,0_20,0_20,17,ギガジラス,Gigajiras,CREATURE,Chimera,"■ Whenever this creature attacks, you may return a creature from your graveyard to your hand.",Different brains command different thoughts. That is both the Chimera's weapon and its weakness.,crosswalk,133120,132608,512
22,699,1382,0_21,0_21,18,緑神龍ザールベルグ,Terradragon Zalberg,CREATURE,Earth Dragon,"■ When you put this creature into the battle zone, choose up to 2 cards in your opponent's mana zone and put them into their graveyard.","Fear the dragons, and no longer fear any other beast.",crosswalk,143360,143360,0
23,700,1383,0_22,0_22,19,黒神龍ゼキラ,Necrodragon Zekira,CREATURE,Zombie Dragon,"■ When you put this creature, destroy one of your creatures.",Victory is worth any sort of sacrifice.,crosswalk,137216,135936,1280
24,701,1384,0_23,0_23,20,紅神龍ガルドス,Magmadragon Gardos,CREATURE,Volcano Dragon,"■ Speed attacker (This creature doesn't get summoning sickness.)
■ This creature can't attack players.
■ At the end of your turn, return this creature to your hand.",There is nothing emptier than victory won through sacrifice.,crosswalk,137216,136192,1024
25,702,1385,0_24,0_24,21,キッキ・ヤコッピ,Kicky Yacoopy,CREATURE,Fire Bird,■ This creature can attack untapped creatures.,"An adventurer with cute, round eyes. And today, it cheerfully searches for its prince once again.",crosswalk,131072,129280,1792
26,703,1386,0_25,0_25,22,フィスト・ブレーダー,Fist Blader,CREATURE,Merfolk,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack.","This new blade is sharpened in the heat of battle, and it waits for the moment it will pierce the dragons themselves.",crosswalk,124928,123648,1280
27,704,1387,0_26,0_26,23,建機男,Construction Mutant,CREATURE,Hedrian,"■ When this creature would be destroyed, you may return it to your hand instead. If you do, discard a card from your hand.","Its obsessive love of excavation made it forget everything else. It digs so mindlessly, it could unearth its own corpse without noticing.",crosswalk,147456,147200,256
28,705,1388,0_27,0_27,24,ゲットのノコギリ,Gett's Saw,CREATURE,Xenoparts,"■ This creature attacks each turn if able.
■ Power attacker +1000 (While attacking, this creature gets +1000 power.)",A tiny body packed with blades.,crosswalk,137216,137216,0
29,706,1389,0_28,0_28,25,黒神龍バズラデューダ,Necrodragon Bazradyuda,CREATURE,Zombie Dragon,"■ Double breaker (This creature breaks 2 shields.)
■ When this creature would be destroyed, you may discard a Dragon from your hand. If you do, this creature stays in the battle zone instead.",,crosswalk,151552,151552,0
30,707,1390,0_29,0_29,26,ボルスレッド・ファイアー・ドラゴン,Bolsred Fire Dragon,CREATURE,Armored Dragon,"■ Double breaker (This creature breaks 2 shields.)
■ Whenever this creature attacks, you may discard a Dragon from your hand. If you do, destroy one of your opponent's creatures that has power equal to or less than the discarded Dragon.",,crosswalk,151552,151552,0
31,708,1391,0_30,0_30,27,聖神龍アルティメス,"Altimeth, Holy Divine Dragon",CREATURE,Holy Dragon,"■ Double breaker
■ Each turn you may have all of your creatures get ""blocker"" until the end of your opponent's turn.
■ When this creature leaves the battle zone, put the top card of your deck into your shield zone face down.
■ When you put this creature into the battle zone, you may tap all your opponent's creatures.",,crosswalk,135168,134656,512
32,709,1392,0_31,0_31,28,蒼神龍ウォルフィース,"Wolfis, Blue Divine Dragon",CREATURE,Cyber Dragon,"■ Double breaker (This creature breaks 2 shields.)
■ This creature can't be blocked.
■ While this creature is in the battle zone, whenever one of your shields is broken, there is a chance you can use that shield as a shield trigger.
■ When this creature would be destroyed, there is a chance you may return it to your hand instead.",,crosswalk,139264,137728,1536
33,710,1393,0_32,0_32,29,黒神龍ガルバロス,Necrodragon Galbalos,CREATURE,Zombie Dragon,"■ Double breaker
■ Whenever this creature attacks or is put into your graveyard from the battle zone, you may choose one of the following. These effects can only be used once per turn:
> Put one of your opponent's shields into their graveyard.
> Your opponent discards a card from their hand.
> Destroy one of your opponent's creatures.",,crosswalk,139264,139008,256
34,711,1394,0_33,0_33,30,ボルブレイズ・ドラゴン,Bolblaze Dragon,CREATURE,Armored Dragon,"■ Double breaker (This creature breaks 2 shields.)
■ Speed attacker (This creature doesn't get summoning sickness.)
■ Whenever this creature attacks, there is a chance 2 cards are put from your opponent's mana zone into their graveyard.
■ Whenever this creature breaks a shield, there is a chance your opponent puts that shield into their graveyard instead.
■ There is a chance this creature can attack untapped creatures.",,crosswalk,147456,146176,1280
35,712,1395,0_34,0_34,31,緑神龍ハルクーンベルガ,Terradragon Hulcoon Berga,CREATURE,Earth Dragon,"■ While this creature is tapped, your other creatures in the battle zone get ""power attacker +4000"" and ""double breaker"".
■ This creature's power randomly increases at the end of each turn while it is tapped.
■ This creature gets ""Double Breaker"" or ""Triple Breaker"" depending on its power.",,crosswalk,153600,152064,1536
36,713,1396,0_35,0_35,32,神滅竜騎ガルザーク,"Galzark, Divine Destruction Dragon Knight",CREATURE,Armored Dragon/Zombie Dragon,"(This creature is put into your mana zone tapped.)
■ Double breaker (This creature breaks 2 shields.)
■ This creature can't be attacked.
■ If you have at least another Dragon in the battle zone, this creature gets ""Power attacker +6000"" and ""Triple breaker"". (A creature that has ""triple breaker"" breaks 3 shields.)","When it lets out its roar of destruction, the history of the world cries out in anguish.",crosswalk,139264,137728,1536
37,714,1397,0_36,0_36,33,勇騎恐皇フォルテ,"Forte, Brave Fear Lord",CREATURE,Dark Lord/Human,"(This creature is put into your mana zone tapped.)
■ Whenever this creature is blocked, destroy all your opponent's creatures that have ""blocker"".
■ Double breaker","Assassins from the other world are guided by darkness, stoking their hatred deeper than the fires of hell.",crosswalk,112640,112384,256
38,715,1398,0_37,0_37,34,無双竜機ドルザーク,Super Dragon Machine Dolzark,CREATURE,Armored Dragon/Earth Dragon,"■ (This creature is put into your mana zone tapped.)
■ Whenever one of your other creatures that has Dragon in its race attacks, you may choose one of your opponent's creatures in the battle zone that has power 5000 or less and put it into his mana zone.
■ Double breaker (This creature breaks 2 shields.)",,crosswalk,124928,124160,768
39,716,1399,1_2,1_2,58,真理の伝道師レイーラ,"Rayla, Truth Enforcer",CREATURE,Berserker,"■ When you put this creature into the battle zone, search your deck. You may take a spell from your deck, show that spell to your opponent, and put it into your hand. Then shuffle your deck.",,crosswalk,126976,125440,1536
40,717,1400,1_3,1_3,50,キング・ポセイドン,King Ripped-Hide,CREATURE,Leviathan,"■ When you put this creature into the battle zone, draw up to 2 cards.",,crosswalk,120832,120832,0
41,718,1401,1_8,1_8,36,ボルシャック・ドラゴン,Bolshack Dragon,CREATURE,Armored Dragon,"■ While attacking, this creature gets +1000 power for each fire card in your graveyard.
■ Double breaker (This creature breaks 2 shields.)",,crosswalk,149504,148480,1024
42,719,1402,1_10,1_10,47,トゲ刺しマンドラ,Thorny Mandra,CREATURE,Tree Folk,"■ When you put this creature into the battle zone, you may put 1 creature from your graveyard into your mana zone.",,crosswalk,137216,135936,1280
43,720,1403,1_100,1_100,35,凶戦士ブレイズ・クロー,Deadly Fighter Braid Claw,CREATURE,Dragonoid,■ This creature attacks each turn if able.,,crosswalk,139264,137984,1280
44,721,1404,1_101,1_101,61,クリムゾン・ハンマー,Crimson Hammer,SPELL,,■ Destroy 1 of your opponent's creatures that has power 2000 or less.,,crosswalk,116736,115712,1024
45,722,1405,1_106,1_106,59,青銅の鎧,Bronze-Arm Tribe,CREATURE,Beast Folk,"■ When you put this creature into the battle zone, put the top card of your deck into your mana zone.",,crosswalk,129024,129024,0
46,723,1406,1_109,1_109,60,アルティメット・フォース,Ultimate Force,SPELL,,■ Put the top 2 cards of your deck into your mana zone.,,crosswalk,145408,144896,512
47,724,1407,1_15,1_15,66,ホーリー・スパーク,Holy Awe,SPELL,,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Tap all your opponent's creatures in the battle zone.",,crosswalk,100352,100096,256
48,725,1408,1_27,1_27,62,デーモン・ハンド,Terror Pit,SPELL,,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Destroy one of your opponent's creatures.",,crosswalk,129024,128256,768
49,726,1409,1_32,1_32,46,銃神兵ディオライオス,"Rothus, the Traveler",CREATURE,Armorloid,"■ When you put this creature into the battle zone, destroy one of your creatures. Then your opponent chooses one of his creatures and destroys it.",,crosswalk,131072,130304,768
50,727,1410,1_39,1_39,57,ナチュラル・トラップ,Natural Snare,SPELL,,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Choose one of your opponent's creatures in the battle zone and put it into his mana zone.",,crosswalk,143360,143104,256
51,728,1411,1_52,1_52,64,サイバー・ブレイン,Cyber Brain,SPELL,,"■ Shield trigger (When this spell is put into your hand from your shield zone, you may cast it immediately for no cost.)
■ Draw up to 3 cards.",Why don't you just give up?,crosswalk,112640,111360,1280
52,729,1412,1_58,1_58,63,ダーク・リバース,Dark Reversal,SPELL,,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Return a creature from your graveyard to your hand.",,crosswalk,131072,130048,1024
53,730,1413,1_64,1_64,56,トルネード・フレーム,Tornado Flame,SPELL,,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Destroy one of your opponent's creatures that has power 4000 or less.",,crosswalk,114688,114176,512
54,731,1414,1_69,1_69,41,シビレアシダケ,Poisonous Mushroom,CREATURE,Balloon Mushroom,"■ When you put this creature into the battle zone, you may put 1 card from your hand into your mana zone.",,crosswalk,153600,153600,0
55,732,1415,1_71,1_71,54,翡翠樹,Senatine Jade Tree,CREATURE,Starlight Tree,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack players.",,crosswalk,133120,132608,512
56,733,1416,1_73,1_73,43,雷光の使徒ミール,"Miele, Vizier of Lightning",CREATURE,Initiate,"■ When you put this creature into the battle zone, you may choose one of your opponent's creatures in the battle zone and tap it.",,crosswalk,120832,120064,768
57,734,1417,1_74,1_74,55,碧玉草,Emerald Grass,CREATURE,Starlight Tree,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack players.",,crosswalk,129024,128768,256
58,735,1418,1_76,1_76,39,蒼天の守護者ラ・ウラ・ギガ,"La Ura Giga, Sky Guardian",CREATURE,Guardian,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack players.",,crosswalk,120832,120320,512
59,736,1419,1_80,1_80,49,アクア・ハルカス,Aqua Hulcus,CREATURE,Liquid People,"■ When you put this creature into the battle zone, you may draw a card.",,crosswalk,131072,129280,1792
60,737,1420,1_81,1_81,52,キャンディ・ドロップ,Candy Drop,CREATURE,Cyber Virus,■ This creature can't be blocked.,,crosswalk,137216,136704,512
61,738,1421,1_82,1_82,45,狩猟魚,Hunter Fish,CREATURE,Fish,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack.",,crosswalk,116736,116480,256
62,739,1422,1_83,1_83,38,アクア・ビークル,Aqua Vehicle,CREATURE,Liquid People,,,crosswalk,116736,115456,1280
63,740,1423,1_84,1_84,42,アクア・ガード,Aqua Guard,CREATURE,Liquid People,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack.",,crosswalk,122880,121600,1280
64,741,1424,1_89,1_89,40,ブラッディ・イヤリング,Bloody Squito,CREATURE,Brain Jacker,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack.
■ When this creature wins a battle, destroy it.",,crosswalk,139264,139008,256
65,742,1425,1_90,1_90,44,うごめく者ボーン・グール,Writhing Bone Ghoul,CREATURE,Living Dead,,,crosswalk,145408,144896,512
66,743,1426,1_94,1_94,65,ゴースト・タッチ,Ghost Touch,SPELL,,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Your opponent discards a card at random from his hand.",,crosswalk,129024,127232,1792
67,744,1427,1_97,1_97,53,不死身男爵ボーグ,"Immortal Baron, Vorg",CREATURE,Human,,,crosswalk,133120,132608,512
68,745,1428,1_98,1_98,37,喧嘩屋タイラー,Brawler Zyler,CREATURE,Human,"■ Power attacker +2000 (While attacking, this creature gets +2000 power.)",,crosswalk,137216,135424,1792
69,746,1429,1_S1,1_S1,51,光輪の精霊シャウナ,"Hanusa, Radiance Elemental",CREATURE,Angel Command,■ Double breaker (This creature breaks 2 shields.),,crosswalk,133120,133120,0
70,747,1430,1_S7,1_S7,48,クリムゾン・ワイバーン,Scarlet Skyterror,CREATURE,Armored Wyvern,"■ When you put this creature into the battle zone, destroy all creatures that have ""blocker"".",,crosswalk,149504,148224,1280
71,748,1431,2_4,2_4,70,ボルザード・ドラゴン,Bolzard Dragon,CREATURE,Armored Dragon,"■ Whenever this creature attacks, choose a card in your opponent's mana zone and put it into his graveyard.",,crosswalk,139264,137728,1536
72,749,1432,2_6,2_6,84,暁の守護者ファル・イーガ,"Phal Eega, Dawn Guardian",CREATURE,Guardian,"■ When you put this creature into the battle zone, you may return a spell from your graveyard to your hand.",,crosswalk,120832,120064,768
73,750,1433,2_19,2_19,72,鳴動するギガ・ホーン,Rumbling Terahorn,CREATURE,Horned Beast,"■ When you put this creature into the battle zone, search your deck. You may take a creature from your deck, show that creature to your opponent, and put it into your hand. Then shuffle your deck.",,crosswalk,141312,140800,512
74,751,1434,2_21,2_21,73,守護聖天ラルバ・ギア,"Larba Geer, the Immaculate",EVOLUTION CREATURE,Guardian,"■ Evolution-Put on one of your Guardians.
■ When you put this creature into the battle zone, tap all your opponent's creatures in the battle zone that have ""blocker"".",,crosswalk,114688,114688,0
75,752,1435,2_23,2_23,85,ダイヤモンド・カッター,Diamond Cutter,SPELL,,"■ This turn, ignore any effects that would prevent your creatures from attacking your opponent. (For example, ignore summoning sickness and card effects that say ""This creature can't attack"" or ""This creature can't attack players"". Your creatures can't attack creatures this way.)",,crosswalk,124928,123392,1536
76,753,1436,2_24,2_24,67,クリスタル・ランサー,Crystal Lancer,EVOLUTION CREATURE,Liquid People,"■ Evolution-Put on one of your Liquid People.
■ This creature can't be blocked.
■ Double breaker (This creature breaks 2 shields.)",,crosswalk,139264,139264,0
77,754,1437,2_26,2_26,76,ディープ・オペレーション,Thought Probe,SPELL,,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ When you cast this spell, if your opponent has 3 or more creatures in the battle zone, draw 3 cards.",,crosswalk,126976,126720,256
78,755,1438,2_27,2_27,68,魔獣虫カオス・ワーム,Chaos Worm,EVOLUTION CREATURE,Parasite Worm,"■ Evolution-Put on one of your Parasite Worms.
■ When you put this creature into the battle zone, you may destroy one of your opponent's creatures.",,crosswalk,139264,138496,768
79,756,1439,2_28,2_28,77,貪欲の影グレイ・バルーン,"Gray Balloon, Shadow of Greed",CREATURE,Ghost,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack players.",,crosswalk,151552,151040,512
80,757,1440,2_29,2_29,89,ロスト・ソウル,Lost Soul,SPELL,,■ Your opponent discards all cards from his hand.,,crosswalk,133120,131840,1280
81,758,1441,2_32,2_32,80,バースト・ショット,Burst Shot,SPELL,,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Destroy all creatures that have power 2000 or less.",,crosswalk,129024,128256,768
82,759,1442,2_33,2_33,69,大勇者「大地の猛攻」,"Barkwhip, the Smasher",EVOLUTION CREATURE,Beast Folk,"■ Evolution-Put on one of your Beast Folk.
■ While this creature is tapped, each of your other Beast Folk in the battle zone gets +2000 power.",,crosswalk,149504,149504,0
83,760,1443,2_35,2_35,82,マナ・クライシス,Mana Crisis,SPELL,,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Choose a card in your opponent's mana zone and put it into his graveyard.",,crosswalk,137216,136704,512
84,761,1444,2_38,2_38,83,晴天の守護者レゾ・パコス,"Reso Pacos, Clear Sky Guardian",CREATURE,Guardian,,,crosswalk,133120,133120,0
85,762,1445,2_39,2_39,74,ロジック・キューブ,Logic Cube,SPELL,,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Search your deck. You may take a spell from your deck, show that spell to your opponent, and put it into your hand. Then shuffle your deck.",,crosswalk,112640,110848,1792
86,763,1446,2_40,2_40,86,コーライル,Corile,CREATURE,Cyber Lord,"■ When you put this creature into the battle zone, choose one of your opponent's creatures in the battle zone and put it on top of his deck.",,crosswalk,116736,115456,1280
87,764,1447,2_45,2_45,87,卵胞虫ゼリー・ワーム,Horrid Worm,CREATURE,Parasite Worm,"■ Whenever this creature attacks, your opponent discards a card at random from his hand.",,crosswalk,143360,142080,1280
88,765,1448,2_46,2_46,88,ねじれる者ボーン・スライム,"Marrow Ooze, the Twister",CREATURE,Living Dead,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ When this creature attacks a player, destroy it after the attack.",,crosswalk,153600,152576,1024
89,766,1449,2_47,2_47,78,クリティカル・ブレード,Critical Blade,SPELL,,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Destroy one of your opponent's creatures that has ""blocker"".",,crosswalk,135168,134656,512
90,767,1450,2_49,2_49,79,小さな勇者ゲット,Mini Titan Gett,CREATURE,Human,"■ This creature attacks each turn if able.
■ Power attacker +1000 (While attacking, this creature gets +1000 power.)",,crosswalk,135168,133376,1792
91,768,1451,2_54,2_54,90,ラブ・エルフィン,Essence Elf,CREATURE,Tree Folk,■ Your spells each cost 1 less to cast. They can't cost less than 1.,,crosswalk,141312,140288,1024
92,769,1452,2_S2,2_S2,75,クリスタル・パラディン,Crystal Paladin,EVOLUTION CREATURE,Liquid People,"■ Evolution-Put on one of your Liquid People.
■ When you put this creature into the battle zone, return all creatures in the battle zone that have ""blocker"" to their owners' hands.",,crosswalk,133120,132864,256
93,770,1453,2_S3,2_S3,71,魔翼虫ジェノサイド・ワーム,Ultracide Worm,EVOLUTION CREATURE,Parasite Worm,"■ Evolution-Put on one of your Parasite Worms.
■ Double breaker (This creature breaks 2 shields.)",,crosswalk,129024,129024,0
94,771,1454,2_S5,2_S5,81,大勇者「ふたつ牙」,Fighter Dual Fang,EVOLUTION CREATURE,Beast Folk,"■ Evolution-Put on one of your Beast Folk.
■ When you put this creature into the battle zone, put the top 2 cards of your deck into your mana zone.
■ Double breaker (This creature breaks 2 shields.)",,crosswalk,147456,147200,256
95,772,1455,3_3,3_3,91,絶望の魔黒ジャックバイパー,"Jack Viper, Shadow of Doom",EVOLUTION CREATURE,Ghost,"■ Evolution-Put on one of your Ghosts.
■ Whenever another of your darkness creatures would be put into your graveyard from the battle zone, you may return it to your hand instead.",,crosswalk,145408,145152,256
96,773,1456,3_5,3_5,92,大昆虫ギガマンティス,Gigamantis,EVOLUTION CREATURE,Giant Insect,"■ Evolution-Put on one of your Giant Insects.
■ Whenever another of your nature creatures would be put into your graveyard from the battle zone, put it into your mana zone instead.",,crosswalk,153600,153600,0
97,774,1457,3_11,3_11,93,ストリーミング・シェイパー,Streaming Shaper,SPELL,,■ Reveal the top 4 cards of your deck. Put all water cards from among them into your hand and the rest into your graveyard.,"""Victory is a cruel twist of fate, bound by time!""",crosswalk,133120,133120,0
98,775,1458,3_18,3_18,94,夜明けの超人,Dawn Giant,CREATURE,Giant,"■ This creature can't attack creatures.
■ Double breaker (This creature breaks 2 shields.)",,crosswalk,126976,125184,1792
99,776,1459,3_34,3_34,95,シェル・ポーチ,Pouch Shell,CREATURE,Colony Beetle,"■ When you put this creature into the battle zone, you may choose one of your opponent's evolution creatures in the battle zone and put the top card of that creature into your opponent's graveyard.",,crosswalk,145408,144384,1024
100,777,1460,3_35,3_35,96,深緑の魔方陣,Mana Nexus,SPELL,,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Add a card from your mana zone to your shields face down.",,crosswalk,126976,126976,0
101,778,1461,3_41,3_41,97,アングラー・クラスター,Angler Cluster,CREATURE,Cyber Cluster,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack.
■ While all the cards in your mana zone are water cards, this creature gets +3000 power.",,crosswalk,116736,115456,1280
102,779,1462,3_42,3_42,98,エメラル,Emeral,CREATURE,Cyber Lord,"■ When you put this creature into the battle zone, you may add a card from your hand to your shields face down. If you do, choose one of your shields and put it into your hand. You can't use the ""shield trigger"" ability of that shield.",,crosswalk,129024,128256,768
103,780,1463,3_49,3_49,99,チッチ・ホッピー,Baby Zoppe,CREATURE,Fire Bird,"■ While all the cards in your mana zone are fire cards, this creature gets +2000 power.",,crosswalk,126976,126208,768
104,781,1464,3_51,3_51,100,ボルカニック・アロー,Volcanic Arrows,SPELL,,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Destroy a creature that has power 6000 or less.
■ Choose one of your shields and put it into your graveyard.",,crosswalk,116736,115712,1024
